Scale,Band,Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
scale_20,Neurogenic,ActualFS,technical,Mann-Whitney U,0.17026075359083004,0.20674126967039563,ns,38,0.9063415829227033,0.2266597280268805,0.858620689655172,6,1.5661505798966033,1.6727130752402848,0.888719938923527,False,"Good normal: False, Bad normal: False",-0.6598089969739,-0.030099249268354944
scale_20,Neurogenic,DataQuality,technical,t-test,,0.0,ns,38,1.0,0.0,1.0,6,1.0,0.0,1.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_20,Neurogenic,SignalLength,technical,t-test,,0.0,ns,38,250.0,0.0,250.0,6,250.0,0.0,250.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_20,Neurogenic,SE_Mean,location,Mann-Whitney U,0.7261994953430004,0.05279244900316845,ns,38,-0.0204185046652337,0.22207252878676367,-0.0026738366247892,6,-0.14408397613272841,0.4077661172840692,-0.010576421045903249,False,"Good normal: False, Bad normal: False",0.12366547146749471,0.007902584421114049
scale_20,Neurogenic,SE_Std,variability,Levene test,0.02230361528994579,40.40070316970917,*,38,3.007099329694775,2.260361937174505,2.5945921345750804,6,7.9607591666880815,14.367210257247422,2.67477694950402,True,Variance ratio: 40.401,-4.953659836993307,-0.08018481492893947
scale_20,Neurogenic,SE_Median,location,Mann-Whitney U,0.8807922083588557,0.022608078316985282,ns,38,-0.10303359744452618,0.4053731537233327,-0.07641203465027335,6,-0.7979623082990273,2.0558677997798216,-0.021783888173926447,False,"Good normal: False, Bad normal: False",0.694928710854501,-0.05462814647634691
scale_20,Neurogenic,SE_Q1,location,Mann-Whitney U,0.9867058636202138,0.0025119663989304803,ns,38,-2.0230529171862,1.533292944594969,-1.549652884902355,6,-7.744439449277952,15.584069371841906,-1.692232375273385,False,"Good normal: False, Bad normal: False",5.721386532091751,0.14257949037103002
scale_20,Neurogenic,SE_Q3,location,Mann-Whitney U,0.8025788731971372,0.037690570292690816,ns,38,2.053174072079685,1.8968585487484215,1.870532567654125,6,6.207298503989194,11.575373340098546,2.05691658973727,False,"Good normal: False, Bad normal: False",-4.1541244319095085,-0.18638402208314497
scale_20,Neurogenic,SE_IQR,variability,Levene test,0.018842050817856955,66.0906043702622,*,38,4.076226989265885,3.340457430965776,3.5021705318478746,6,13.951737953267147,27.156625507605405,3.749148965010655,True,Variance ratio: 66.091,-9.875510964001261,-0.24697843316278023
scale_20,Neurogenic,SE_Min,location,Mann-Whitney U,0.8807922083588557,0.022608078316985282,ns,38,-6.876372264878778,5.296788716990427,-5.547227314772835,6,-13.282230449542014,20.691846955861717,-6.18640916781832,False,"Good normal: False, Bad normal: False",6.405858184663236,0.6391818530454856
