Scale,Band,Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
scale_3,Endothelial,SE_metabolic_regularity,biomarker,Mann-Whitney U,0.7701409219316965,0.04404938568195204,ns,38,0.9430840440255813,0.05083534198995973,0.952380952380952,6,0.9421656847864729,0.043718205489752984,0.938987832833715,False,"Good normal: False, Bad normal: True",0.000918359239108435,0.013393119547236987
scale_3,Endothelial,SE_endothelial_dysfunction_risk,biomarker,Mann-Whitney U,0.7405439585673184,0.049920191489429486,ns,38,0.02631578947368421,0.16222142113076257,0.0,6,0.0,0.0,0.0,False,"Good normal: False, Bad normal: True",0.02631578947368421,0.0
scale_3,Endothelial,SE_no_mediated_capacity,biomarker,t-test,,0.0,ns,38,1.0,0.0,1.0,6,1.0,0.0,1.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_3,Endothelial,rSO2_metabolic_regularity,biomarker,t-test,0.680667403197984,0.18205869529863314,ns,38,0.9122455723252556,0.054186816198528935,0.9132610508757295,6,0.9021214381550321,0.06517694976775813,0.901559454191033,True,"Good normal: True, Bad normal: True",0.010124134170223509,0.011701596684696502
scale_3,Endothelial,rSO2_endothelial_dysfunction_risk,biomarker,t-test,,0.0,ns,38,0.0,0.0,0.0,6,0.0,0.0,0.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_3,Endothelial,rSO2_no_mediated_capacity,biomarker,t-test,,0.0,ns,38,1.0,0.0,1.0,6,1.0,0.0,1.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_3,Neurogenic,SE_sympathetic_activity,biomarker,Mann-Whitney U,0.5586837774154332,0.08816156450898532,ns,38,0.9033192908171206,0.08317005773902156,0.925000619307383,6,0.8884695260110208,0.0976460043274767,0.899699679108475,False,"Good normal: False, Bad normal: True",0.014849764806099786,0.02530094019890794
scale_3,Neurogenic,SE_baroreflex_sensitivity,biomarker,Mann-Whitney U,0.32167775502999557,0.14940128720405305,ns,38,0.9940965911439096,0.00481754275648248,0.9956858224896235,6,0.9797336953480954,0.031414033996203954,0.9889440302939045,False,"Good normal: False, Bad normal: False",0.014362895795814179,0.00674179219571891
scale_3,Neurogenic,SE_autonomic_dysfunction_risk,biomarker,t-test,,0.0,ns,38,0.0,0.0,0.0,6,0.0,0.0,0.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_3,Neurogenic,rSO2_sympathetic_activity,biomarker,Mann-Whitney U,0.21798904442126224,0.1857148623203557,ns,38,0.7628673976016203,0.005732370168922136,0.7618549471483871,6,0.7709067441347378,0.015316879640528068,0.7666020593847971,False,"Good normal: False, Bad normal: True",-0.008039346533117553,-0.0047471122364100005
scale_3,Neurogenic,rSO2_baroreflex_sensitivity,biomarker,Mann-Whitney U,0.12175657581216287,0.23328573682442835,ns,38,0.9993438078677317,0.0005773834651712206,0.999536797920785,6,0.9915559746862139,0.0178964453679905,0.999002482989256,False,"Good normal: False, Bad normal: False",0.007787833181517767,0.0005343149315290008
scale_3,Neurogenic,rSO2_autonomic_dysfunction_risk,biomarker,t-test,,0.0,ns,38,0.0,0.0,0.0,6,0.0,0.0,0.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_3,Myogenic,SE_autoregulation_capacity,biomarker,Mann-Whitney U,0.7716705035436164,0.044253636380814365,ns,38,0.34210526315789425,0.05407380704358762,0.333333333333333,5,0.333333333333333,0.0,0.333333333333333,False,"Good normal: False, Bad normal: True",0.008771929824561264,0.0
scale_3,Myogenic,SE_arterial_stiffness_index,biomarker,Mann-Whitney U,0.7156260893561801,0.0555568448317432,ns,38,0.025087719298245603,0.02138924039950991,0.02,5,0.02666666666666666,0.019436506316150997,0.02,False,"Good normal: False, Bad normal: True",-0.0015789473684210582,0.0
scale_3,Myogenic,SE_bayliss_effect_integrity,biomarker,Mann-Whitney U,0.7716705035436164,0.044253636380814365,ns,38,0.02631578947368421,0.16222142113076257,0.0,5,0.0,0.0,0.0,False,"Good normal: False, Bad normal: True",0.02631578947368421,0.0
scale_3,Myogenic,rSO2_autoregulation_capacity,biomarker,t-test,0.03478130011796503,1.038723913473187,*,38,0.33333333333333287,1.1251260139334012e-16,0.333333333333333,5,0.333333333333333,0.0,0.333333333333333,True,"Good normal: True, Bad normal: True",-1.1102230246251565e-16,0.0
scale_3,Myogenic,rSO2_arterial_stiffness_index,biomarker,Mann-Whitney U,0.018257713812280595,0.35994995859596846,*,38,0.018596491228070174,0.014049068427910563,0.0133333333333334,5,0.03333333333333336,0.009428090415820609,0.0333333333333334,False,"Good normal: False, Bad normal: True",-0.014736842105263187,-0.020000000000000004
scale_3,Myogenic,rSO2_bayliss_effect_integrity,biomarker,t-test,,0.0,ns,38,0.0,0.0,0.0,5,0.0,0.0,0.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_5,Endothelial,SE_metabolic_regularity,biomarker,Mann-Whitney U,0.7701409219316965,0.04404938568195204,ns,38,0.9430840440255813,0.05083534198995973,0.952380952380952,6,0.9421656847864729,0.043718205489752984,0.938987832833715,False,"Good normal: False, Bad normal: True",0.000918359239108435,0.013393119547236987
scale_5,Endothelial,SE_endothelial_dysfunction_risk,biomarker,Mann-Whitney U,0.7405439585673184,0.049920191489429486,ns,38,0.02631578947368421,0.16222142113076257,0.0,6,0.0,0.0,0.0,False,"Good normal: False, Bad normal: True",0.02631578947368421,0.0
scale_5,Endothelial,SE_no_mediated_capacity,biomarker,t-test,,0.0,ns,38,1.0,0.0,1.0,6,1.0,0.0,1.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_5,Endothelial,rSO2_metabolic_regularity,biomarker,t-test,0.6739583575539865,0.18612336566701917,ns,38,0.912436183577419,0.05396503995501733,0.9132610508757295,6,0.9021214381550321,0.06517694976775813,0.901559454191033,True,"Good normal: True, Bad normal: True",0.010314745422386862,0.011701596684696502
scale_5,Endothelial,rSO2_endothelial_dysfunction_risk,biomarker,t-test,,0.0,ns,38,0.0,0.0,0.0,6,0.0,0.0,0.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_5,Endothelial,rSO2_no_mediated_capacity,biomarker,t-test,,0.0,ns,38,1.0,0.0,1.0,6,1.0,0.0,1.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_5,Neurogenic,SE_sympathetic_activity,biomarker,Mann-Whitney U,0.5586837774154332,0.08816156450898532,ns,38,0.9032573793478562,0.08315876394355096,0.9249055911723155,6,0.8884102668309471,0.09761293172001645,0.8996058730178245,False,"Good normal: False, Bad normal: True",0.014847112516909067,0.025299718154491058
scale_5,Neurogenic,SE_baroreflex_sensitivity,biomarker,Mann-Whitney U,0.32167775502999557,0.14940128720405305,ns,38,0.9940980775893349,0.004816897819203284,0.995685850987584,6,0.9797318988681653,0.03141337406606963,0.9889401403704945,False,"Good normal: False, Bad normal: False",0.014366178721169631,0.0067457106170895065
scale_5,Neurogenic,SE_autonomic_dysfunction_risk,biomarker,t-test,,0.0,ns,38,0.0,0.0,0.0,6,0.0,0.0,0.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_5,Neurogenic,rSO2_sympathetic_activity,biomarker,Mann-Whitney U,0.21798904442126224,0.1857148623203557,ns,38,0.7628609772027618,0.005725946741919358,0.761848372647161,6,0.7709000938659626,0.01531673035490254,0.76659306373668,False,"Good normal: False, Bad normal: True",-0.008039116663200785,-0.004744691089519026
scale_5,Neurogenic,rSO2_baroreflex_sensitivity,biomarker,Mann-Whitney U,0.12175657581216287,0.23328573682442835,ns,38,0.9993436979165649,0.0005772832789439918,0.999536586039219,6,0.9915560143163935,0.017896493234674654,0.999002599217893,False,"Good normal: False, Bad normal: False",0.007787683600171347,0.0005339868213259935
scale_5,Neurogenic,rSO2_autonomic_dysfunction_risk,biomarker,t-test,,0.0,ns,38,0.0,0.0,0.0,6,0.0,0.0,0.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_5,Myogenic,SE_autoregulation_capacity,biomarker,Mann-Whitney U,0.7716705035436164,0.044253636380814365,ns,38,0.34210526315789425,0.05407380704358762,0.333333333333333,5,0.333333333333333,0.0,0.333333333333333,False,"Good normal: False, Bad normal: True",0.008771929824561264,0.0
