Scale,Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
scale_3,SE_KDE_Entropy,complexity,Mann-Whitney U,0.595559447377199,0.046375950705996795,ns,114,3.464264137140888,0.32861259815811694,3.3910699217498452,17,3.455044239385763,0.43765890363874804,3.41240391161908,False,"Good normal: False, Bad normal: False",0.009219897755124773,-0.02133398986923485
scale_3,SE_N_Peaks,complexity,Mann-Whitney U,0.6131952299128157,0.04416729148468292,ns,114,1.043859649122807,0.2449616505002467,1.0,17,1.1764705882352942,0.7276068751089988,1.0,False,"Good normal: False, Bad normal: False",-0.13261093911248722,0.0
scale_3,rSO2_KDE_Entropy,complexity,Mann-Whitney U,0.010524607280899852,0.22350216243470705,*,114,3.045510793287892,0.022206447644751343,3.03808529901689,17,3.075329970450424,0.04936454223859492,3.05438852384654,False,"Good normal: False, Bad normal: False",-0.029819177162532018,-0.016303224829649743
scale_3,rSO2_N_Peaks,complexity,t-test,,0.0,ns,114,1.0,0.0,1.0,17,1.0,0.0,1.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_3,MAP_KDE_Entropy,complexity,Mann-Whitney U,0.49557105632169995,0.05954073671286037,ns,114,3.462654262910809,0.3995855733867452,3.3525060592036597,17,3.525120359556083,0.4498826149081326,3.48328457703342,False,"Good normal: False, Bad normal: False",-0.06246609664527414,-0.13077851782976024
scale_3,MAP_N_Peaks,complexity,Mann-Whitney U,0.10811169089926097,0.1403814157835349,ns,114,1.131578947368421,0.5724216203213078,1.0,17,1.2941176470588236,0.7717436331412898,1.0,False,"Good normal: False, Bad normal: False",-0.16253869969040258,0.0
scale_3,rSO2_contra_KDE_Entropy,complexity,Mann-Whitney U,0.39382584390184294,0.07450072081156904,ns,114,3.0390725056121486,0.013899980155391421,3.03497896292002,17,3.0426028931538185,0.01837794049323858,3.03721936864667,False,"Good normal: False, Bad normal: False",-0.0035303875416698993,-0.0022404057266500743
scale_3,rSO2_contra_N_Peaks,complexity,t-test,,0.0,ns,114,1.0,0.0,1.0,17,1.0,0.0,1.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_5,SE_KDE_Entropy,complexity,Mann-Whitney U,0.595559447377199,0.046375950705996795,ns,114,3.463994461224536,0.32842402418006045,3.39082804791131,17,3.45484924863008,0.4375848109077878,3.41234614011699,False,"Good normal: False, Bad normal: False",0.009145212594455998,-0.021518092205679906
scale_5,SE_N_Peaks,complexity,Mann-Whitney U,0.6131952299128157,0.04416729148468292,ns,114,1.043859649122807,0.2449616505002467,1.0,17,1.1764705882352942,0.7276068751089988,1.0,False,"Good normal: False, Bad normal: False",-0.13261093911248722,0.0
scale_5,rSO2_KDE_Entropy,complexity,Mann-Whitney U,0.010524607280899852,0.22350216243470705,*,114,3.045494141383021,0.022190482514335558,3.038063059256695,17,3.075301342148257,0.04935554307175919,3.05433222453566,False,"Good normal: False, Bad normal: False",-0.02980720076523591,-0.016269165278965048
scale_5,rSO2_N_Peaks,complexity,t-test,,0.0,ns,114,1.0,0.0,1.0,17,1.0,0.0,1.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_5,MAP_KDE_Entropy,complexity,Mann-Whitney U,0.49557105632169995,0.05954073671286037,ns,114,3.4624841990215165,0.39951323022280155,3.352004230814825,17,3.524995992632133,0.4498826063203747,3.48326806002995,False,"Good normal: False, Bad normal: False",-0.06251179361061654,-0.13126382921512514
scale_5,MAP_N_Peaks,complexity,Mann-Whitney U,0.10811169089926097,0.1403814157835349,ns,114,1.131578947368421,0.5724216203213078,1.0,17,1.2941176470588236,0.7717436331412898,1.0,False,"Good normal: False, Bad normal: False",-0.16253869969040258,0.0
scale_5,rSO2_contra_KDE_Entropy,complexity,Mann-Whitney U,0.3900378539192123,0.0750991201755174,ns,114,3.0390617833523605,0.013889250561105886,3.03497802177383,17,3.042589988006633,0.018353702432217175,3.03721936365274,False,"Good normal: False, Bad normal: False",-0.0035282046542723933,-0.002241341878909786
scale_5,rSO2_contra_N_Peaks,complexity,t-test,,0.0,ns,114,1.0,0.0,1.0,17,1.0,0.0,1.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_10,SE_KDE_Entropy,complexity,Mann-Whitney U,0.6786074594987044,0.03620316151887492,ns,114,3.3415829779102793,0.25274646993686073,3.267014054695455,17,3.3673102502119523,0.4189584789338428,3.25634269804254,False,"Good normal: False, Bad normal: False",-0.025727272301673043,0.010671356652915076
scale_10,SE_N_Peaks,complexity,Mann-Whitney U,0.2844020780311891,0.0935285104623296,ns,114,1.0263157894736843,0.20868430303345067,1.0,17,1.1764705882352942,0.7276068751089988,1.0,False,"Good normal: False, Bad normal: False",-0.15015479876160986,0.0
scale_10,rSO2_KDE_Entropy,complexity,Mann-Whitney U,0.010319121921379869,0.22410056179865548,*,114,3.039345305489227,0.01660068426181836,3.033905148819715,17,3.0633163513693766,0.04402438194898931,3.04505483646604,False,"Good normal: False, Bad normal: False",-0.023971045880149422,-0.011149687646324846
scale_10,rSO2_N_Peaks,complexity,t-test,,0.0,ns,114,1.0,0.0,1.0,17,1.0,0.0,1.0,True,"Good normal: True, Bad normal: True",0.0,0.0
