Scale,Band,Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
scale_3,Endothelial,Cross_Correlation,correlation,t-test,0.6947635196235751,0.17356958743835738,ns,38,0.0008168024968858514,0.30602250718110663,-0.0321751453130995,6,-0.05135525611987196,0.2567734179004395,-0.0285638846023493,True,"Good normal: True, Bad normal: True",0.05217205861675781,-0.0036112607107502
scale_3,Endothelial,Circular_Correlation,correlation,t-test,0.6924529291283074,0.17495648759167398,ns,38,0.001070232514221892,0.30603980817165055,-0.0322111295860515,6,-0.051519237475081664,0.2566507485901878,-0.028881988065837,True,"Good normal: True, Bad normal: True",0.052589469989303556,-0.0033291415202144972
scale_3,Endothelial,Phase_Lag,correlation,t-test,0.746840998471185,0.14274455369371883,ns,38,-0.15789473684210525,29.127423982915346,0.5,6,-4.333333333333333,30.15073243997012,-9.0,True,"Good normal: True, Bad normal: True",4.175438596491228,9.5
scale_3,Endothelial,Max_Cross_Correlation,correlation,t-test,0.7465818873200307,0.14289603482216154,ns,38,0.5362205260374481,0.1589150019626175,0.5521008142498365,6,0.5144928909307747,0.08559849822703465,0.5120277681969475,True,"Good normal: True, Bad normal: True",0.021727635106673415,0.04007304605288897
scale_3,Neurogenic,Cross_Correlation,correlation,t-test,0.7928316259024488,0.11611199876125193,ns,38,-0.003122225188034668,0.35784161773865636,-0.0023727774247300996,6,-0.04423679171588928,0.32502173060413475,0.045484304516105155,True,"Good normal: True, Bad normal: True",0.04111456652785461,-0.04785708194083525
scale_3,Neurogenic,Circular_Correlation,correlation,t-test,0.785924587233926,0.12008162909792237,ns,38,-0.0029441892559359515,0.3579148028890773,-0.0015835157402236501,6,-0.04545767086888102,0.3239123966329111,0.046643543635402906,True,"Good normal: True, Bad normal: True",0.04251348161294507,-0.04822705937562655
scale_3,Neurogenic,Phase_Lag,correlation,t-test,0.32393078949067877,0.43847769979056084,ns,38,-8.5,25.985182888133185,-9.0,6,3.6666666666666665,38.34927204871908,8.0,True,"Good normal: True, Bad normal: True",-12.166666666666666,-17.0
scale_3,Neurogenic,Max_Cross_Correlation,correlation,t-test,0.3804263197900172,0.3894125621332173,ns,38,0.5120258612871419,0.1607197005890226,0.47083774521519295,6,0.44880438299602554,0.1739469697047288,0.3888891009429215,True,"Good normal: True, Bad normal: True",0.06322147829111635,0.08194864427227144
scale_3,Myogenic,Cross_Correlation,correlation,t-test,0.9870751717119203,0.007753712955982736,ns,38,-0.011220858193009256,0.36397495226267035,-0.0233488547876419,5,-0.013970927650265483,0.25296797837792967,-0.0140224866517239,True,"Good normal: True, Bad normal: True",0.0027500694572562268,-0.009326368135917999
scale_3,Myogenic,Circular_Correlation,correlation,t-test,0.9875875999330894,0.007446276716285046,ns,38,-0.011010726659598614,0.3638532238283291,-0.02500534761095035,5,-0.013651156679624753,0.2534321334514675,-0.0140538884137287,True,"Good normal: True, Bad normal: True",0.0026404300200261396,-0.01095145919722165
scale_3,Myogenic,Phase_Lag,correlation,Mann-Whitney U,0.9244144047709434,0.014468246042304844,ns,38,3.1842105263157894,29.24071140403291,0.0,5,1.6,43.50057470884724,17.0,False,"Good normal: False, Bad normal: True",1.5842105263157893,-17.0
scale_3,Myogenic,Max_Cross_Correlation,correlation,t-test,0.5221840330121847,0.3070930029896466,ns,38,0.4502640279601061,0.15627019574039155,0.405963778562755,5,0.403722203769589,0.09770583946478496,0.443237238695078,True,"Good normal: True, Bad normal: True",0.04654182419051711,-0.037273460132322966
