Scale,Band,Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
scale_3,Endothelial,SE_Kurtosis,distribution_shape,Mann-Whitney U,0.1134174957203885,0.23864885424569632,ns,38,2.98385145573425,1.247658110726385,2.67831076087235,6,2.3769088724291683,0.6674769876034827,2.365277144291885,False,"Good normal: False, Bad normal: True",0.6069425833050817,0.31303361658046525
scale_3,Endothelial,SE_Skewness,distribution_shape,t-test,0.675698609202363,0.18506748838148335,ns,38,0.0720531026695528,0.32145943056507603,0.0630311349677721,6,0.13332803779826782,0.39516272578696804,0.22382578478437748,True,"Good normal: True, Bad normal: True",-0.06127493512871503,-0.16079464981660538
scale_3,Endothelial,rSO2_Kurtosis,distribution_shape,Mann-Whitney U,0.9336089321908944,0.012558718818154155,ns,38,3.533395945701612,1.227952741591742,2.9319790685346003,6,3.4238137038617062,1.670823110916699,3.1382486204623348,False,"Good normal: False, Bad normal: True",0.10958224183990595,-0.20626955192773444
scale_3,Endothelial,rSO2_Skewness,distribution_shape,t-test,0.6167312328842018,0.2215093479176887,ns,38,0.27263857981579426,0.5086009957785056,0.312671438022713,6,0.15970288680810493,0.5189676266016877,0.24425162654238863,True,"Good normal: True, Bad normal: True",0.11293569300768933,0.06841981148032439
scale_3,Endothelial,MAP_Kurtosis,distribution_shape,Mann-Whitney U,0.35611920694166865,0.13911508819225799,ns,38,3.9482230007322854,1.492340491654007,3.732730804664915,6,3.3270007859486737,1.1970943725472847,3.3641120410768153,False,"Good normal: False, Bad normal: True",0.6212222147836117,0.36861876358809953
scale_3,Endothelial,MAP_Skewness,distribution_shape,t-test,0.5916652696860651,0.2374673857132975,ns,38,0.36797377768257555,0.7725672997004221,0.4384230797658665,6,0.5473410280061125,0.6129313815474905,0.544749296045778,True,"Good normal: True, Bad normal: True",-0.17936725032353695,-0.10632621627991157
scale_3,Endothelial,rSO2_contra_Kurtosis,distribution_shape,Mann-Whitney U,0.2893751172253725,0.1597246451735316,ns,38,3.388710859505301,1.6255252610714768,2.92656488489571,6,2.5840825223102417,0.4160031136118772,2.701933153215445,False,"Good normal: False, Bad normal: True",0.8046283371950591,0.22463173168026485
scale_3,Endothelial,rSO2_contra_Skewness,distribution_shape,t-test,0.689145034316824,0.17694511043914138,ns,38,0.05976623910458601,0.6862286293345529,0.034859179082987996,6,0.17503586344809685,0.2829155843711046,0.225382820142914,True,"Good normal: True, Bad normal: True",-0.11526962434351085,-0.190523641059926
scale_3,Neurogenic,SE_Kurtosis,distribution_shape,Mann-Whitney U,0.043359646592771944,0.3045609707744305,*,38,3.2736617094020004,0.8241770663318742,3.05890704462571,6,2.5929302737039417,0.6179147982010089,2.49085562237919,False,"Good normal: False, Bad normal: True",0.6807314356980587,0.56805142224652
scale_3,Neurogenic,SE_Skewness,distribution_shape,t-test,0.6295248462416076,0.21347894517577976,ns,38,-0.031593828998146944,0.15792030011900227,-0.03401966765702075,6,0.0006631007947325018,0.0850763942865931,-0.0313955026689303,True,"Good normal: True, Bad normal: True",-0.032256929792879446,-0.002624164988090448
