Scale,Band,Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
scale_3,Endothelial,SE_Mean,location,Mann-Whitney U,0.2893751172253725,0.1597246451735316,ns,38,-0.002476643364739253,0.10069855124632543,-0.002019463090356,6,0.43605356267952433,0.937417338454607,0.033337961463633145,False,"Good normal: False, Bad normal: False",-0.43853020604426357,-0.035357424553989145
scale_3,Endothelial,SE_Median,location,t-test,0.5493628472640799,0.26515543956724913,ns,38,-0.01655614149355933,0.4180412265226697,-0.00021415656531265003,6,0.09869725461946466,0.5420509961574895,0.160791147513071,True,"Good normal: True, Bad normal: True",-0.11525339611302399,-0.16100530407838365
scale_3,Endothelial,SE_Q1,location,Mann-Whitney U,0.7261994953430004,0.05279244900316845,ns,38,-3.1475737536853714,1.7191722580991249,-2.5746270722039553,6,-3.065279141717155,1.1381245779566853,-3.2533784594351554,False,"Good normal: False, Bad normal: True",-0.08229461196821619,0.6787513872312001
scale_3,Endothelial,SE_Q3,location,Mann-Whitney U,0.7012709355307197,0.05783069028164799,ns,38,2.9437573805966673,1.4892979092761753,2.448892432859515,6,3.6179782299856496,2.7095883508751677,2.585910360280825,False,"Good normal: False, Bad normal: False",-0.6742208493889823,-0.1370179274213097
scale_3,Endothelial,SE_Min,location,Mann-Whitney U,0.2740265973391328,0.16490208971104953,ns,38,-9.701970047287237,3.4545071075012883,-8.81664657547925,6,-8.298186263823624,4.041703320354164,-6.77905924094404,False,"Good normal: False, Bad normal: True",-1.4037837834636129,-2.0375873345352105
scale_3,Endothelial,SE_Max,location,Mann-Whitney U,0.8807922083588557,0.022608078316985282,ns,38,10.393382635315385,4.891040508514473,9.119133324002874,6,9.73606373419976,5.11602637959485,10.154937653351215,False,"Good normal: False, Bad normal: True",0.6573189011156249,-1.0358043293483412
scale_3,Endothelial,SE_Mode_Angle,location,Mann-Whitney U,0.10551445151558593,0.24402636865582578,ns,38,-0.1335068745079233,0.9678644963199656,-0.01486114017439275,6,-0.556944937835108,0.7525501764616411,-0.4824926974539135,False,"Good normal: False, Bad normal: True",0.4234380633271847,0.4676315572795207
scale_3,Endothelial,SE_Positive_Mean,location,Mann-Whitney U,0.43129020724029227,0.11864256602471288,ns,38,3.5792547225852673,1.5092191586842525,3.309725754639535,6,4.171348785543438,2.248455230347446,4.115822475276945,False,"Good normal: False, Bad normal: True",-0.592094062958171,-0.8060967206374094
scale_3,Endothelial,SE_Negative_Mean,location,Mann-Whitney U,0.7012709355307197,0.05783069028164799,ns,38,-3.6246211636883534,1.53566588174353,-3.262315618747785,6,-3.2428943048238987,1.1322230968710805,-3.34333728259186,False,"Good normal: False, Bad normal: True",-0.3817268588644547,0.08102166384407505
scale_3,Endothelial,rSO2_Mean,location,Mann-Whitney U,0.0028068924835799483,0.4504776924679007,**,38,6.0891240187264955e-06,0.022576672831024585,-0.0021159785910940003,6,-0.08093500991542674,0.15887717448360264,-0.015353320506049149,False,"Good normal: False, Bad normal: False",0.08094109903944546,0.01323734191495515
scale_3,Endothelial,rSO2_Median,location,Mann-Whitney U,0.9336089321908944,0.012558718818154155,ns,38,-0.033813907074110985,0.1323351503572614,-0.0134745091969146,6,-0.06146816529092621,0.18035662226251148,-0.028539239355605997,False,"Good normal: False, Bad normal: True",0.027654258216815227,0.015064730158691397
scale_3,Endothelial,rSO2_Q1,location,Mann-Whitney U,0.016221158308509415,0.3624017358947789,*,38,-0.5039046306149586,0.3573266976285231,-0.4213936588912035,6,-1.1305821144204247,0.8034922896251937,-1.0137476126354645,False,"Good normal: False, Bad normal: True",0.6266774838054661,0.592353953744261
scale_3,Endothelial,rSO2_Q3,location,Mann-Whitney U,0.013013645458342,0.37438598147618324,*,38,0.44936275351349436,0.31664680220075975,0.363431397711381,6,0.8600506131225586,0.4562722359367364,0.7953147754625375,False,"Good normal: False, Bad normal: True",-0.41068785960906423,-0.4318833777511565
scale_3,Endothelial,rSO2_Min,location,Mann-Whitney U,0.043359646592771944,0.3045609707744305,*,38,-1.7228481836447542,0.9830430255684567,-1.52747598764278,6,-3.851738098906275,3.654424104893111,-2.43229095198207,False,"Good normal: False, Bad normal: False",2.128889915261521,0.9048149643392902
scale_3,Endothelial,rSO2_Max,location,Mann-Whitney U,0.047374916631865015,0.29893839390878796,*,38,2.0965880804059727,1.396800674965611,1.76297034155532,6,3.6450690670397816,2.369230288436966,2.77332863788446,False,"Good normal: False, Bad normal: True",-1.548480986633809,-1.0103582963291402
scale_3,Endothelial,rSO2_Mode_Angle,location,Mann-Whitney U,0.24494393864785244,0.17528633281631534,ns,38,-0.019751839867741455,0.07543559939272226,-0.01584544938247135,6,-0.10455112087187436,0.16288006599880453,-0.057563458111969654,False,"Good normal: False, Bad normal: True",0.0847992810041329,0.0417180087294983
scale_3,Endothelial,rSO2_Positive_Mean,location,Mann-Whitney U,0.009195569036748844,0.39267276324325845,**,38,0.6624856217344501,0.49881179814163984,0.501555229193696,6,1.2020341779140813,0.543738754379251,1.190568043838776,False,"Good normal: False, Bad normal: True",-0.5395485561796312,-0.68901281464508
scale_3,Endothelial,rSO2_Negative_Mean,location,Mann-Whitney U,0.022224513999896875,0.3447041607570149,*,38,-0.59992503371668,0.3639816032102885,-0.5231812841463565,6,-1.260224569321259,0.7742264000177989,-1.0663779471273045,False,"Good normal: False, Bad normal: True",0.660299535604579,0.543196662980948
scale_3,Endothelial,MAP_Mean,location,Mann-Whitney U,0.7768779717163151,0.04272263452275505,ns,38,-0.03418315289259878,0.27432131398721826,-0.0184631021948368,6,0.13261351717717804,0.5381581911819234,-0.0449333281040329,False,"Good normal: False, Bad normal: False",-0.16679667006977683,0.0264702259091961
scale_3,Endothelial,MAP_Median,location,Mann-Whitney U,0.2740265973391328,0.16490208971104953,ns,38,-0.6034167297146579,1.286165179435707,-0.3247510081753075,6,-0.5874451973793728,1.669429336690232,-0.7893137473661135,False,"Good normal: False, Bad normal: True",-0.015971532335285032,0.464562739190806
scale_3,Endothelial,MAP_Q1,location,Mann-Whitney U,0.13053452503253976,0.22794218390735443,ns,38,-3.503266162547487,3.255534834092503,-2.53774818523577,6,-4.352149702763792,1.7905623288418717,-4.619614854772915,False,"Good normal: False, Bad normal: True",0.8488835402163049,2.081866669537145
scale_3,Endothelial,MAP_Q3,location,Mann-Whitney U,0.43129020724029227,0.11864256602471288,ns,38,2.9754004900626123,2.8111172669644326,2.2813910399844097,6,4.252039209088436,3.7729687820350395,3.02550570047386,False,"Good normal: False, Bad normal: True",-1.276638719025824,-0.7441146604894504
scale_3,Endothelial,MAP_Min,location,Mann-Whitney U,0.18146912644927393,0.2014465504788496,ns,38,-11.18973702080921,7.488953328303909,-9.730333042077216,6,-13.111903694736903,4.282728754148477,-14.01542862800065,False,"Good normal: False, Bad normal: True",1.922166673927693,4.285095585923434
scale_3,Endothelial,MAP_Max,location,Mann-Whitney U,0.5363757059729832,0.09321266585765692,ns,38,14.369514441865052,9.932483176495724,13.09753731183445,6,16.145145616182464,3.3678453736177594,15.16191433379835,False,"Good normal: False, Bad normal: True",-1.7756311743174127,-2.0643770219638995
scale_3,Endothelial,MAP_Mode_Angle,location,Mann-Whitney U,0.37413125728497254,0.13398584130481928,ns,38,-1.0896988710437254,2.6303519797957136,-0.2204102593399565,6,-0.8002919450307259,2.1782149014586896,-1.1564546470884136,False,"Good normal: False, Bad normal: True",-0.28940692601299955,0.9360443877484571
scale_3,Endothelial,MAP_Positive_Mean,location,Mann-Whitney U,0.016221158308509415,0.3624017358947789,*,38,4.777876176498788,4.349323185367194,3.89590481980315,6,6.677315759975315,2.422512215583036,6.76055800125981,False,"Good normal: False, Bad normal: True",-1.8994395834765267,-2.8646531814566596
