Scale,Band,Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
scale_3,Endothelial,SE_Band_Power,power,Mann-Whitney U,0.0116188406035258,0.38043406237980903,*,38,0.7153105337253737,0.044139437217382275,0.7199590037388095,6,0.6077031993546195,0.18910818200676083,0.667266920371228,False,"Good normal: False, Bad normal: False",0.1076073343707542,0.052692083367581466
scale_3,Endothelial,rSO2_Band_Power,power,Mann-Whitney U,0.14946964549914069,0.21730032849786762,ns,38,0.6967766069093273,0.04727276764106842,0.708529651979473,6,0.6119393598123893,0.19629931789225072,0.686774446864236,False,"Good normal: False, Bad normal: False",0.08483724709693796,0.021755205115236986
scale_3,Endothelial,MAP_Band_Power,power,Mann-Whitney U,0.19312763243563016,0.19619076208626238,ns,38,0.6906457163276553,0.042382953325475495,0.7013646386563721,6,0.6092331308580936,0.19309984547446724,0.669840710344705,False,"Good normal: False, Bad normal: False",0.08141258546956165,0.03152392831166706
scale_3,Endothelial,rSO2_contra_Band_Power,power,Mann-Whitney U,0.05167436080652189,0.2933459171204061,ns,38,0.7047379540064507,0.045984362562273166,0.712306577379819,6,0.613225715395658,0.19164412245439766,0.69531929896831,False,"Good normal: False, Bad normal: False",0.09151223861079272,0.016987278411508933
scale_3,Neurogenic,SE_Band_Power,power,Mann-Whitney U,0.15964919935424757,0.21200052082664086,ns,38,0.7118087028339711,0.10516542521355036,0.723644051923862,6,0.6015171814071355,0.21304232515729268,0.641873156062224,False,"Good normal: False, Bad normal: False",0.11029152142683563,0.0817708958616381
scale_3,Neurogenic,rSO2_Band_Power,power,Mann-Whitney U,0.4719050093411976,0.108451057774002,ns,38,0.6908275029370321,0.09462086845170743,0.6956033058781695,6,0.6084928553273193,0.213823965210678,0.6715425484534254,False,"Good normal: False, Bad normal: False",0.08233464760971276,0.024060757424744117
scale_3,Neurogenic,MAP_Band_Power,power,Mann-Whitney U,0.6047789419882441,0.07802215795990872,ns,38,0.7158856584938142,0.08997879911005015,0.734565790519319,6,0.6372518474824037,0.23504121080160167,0.6689676603099011,False,"Good normal: False, Bad normal: False",0.07863381101141054,0.06559813020941796
scale_3,Neurogenic,rSO2_contra_Band_Power,power,Mann-Whitney U,0.5144316828945302,0.0982855683846749,ns,38,0.6990172787192898,0.10127921973113804,0.6988191176779901,6,0.6190021048581223,0.21209890287379857,0.681037532535562,False,"Good normal: False, Bad normal: False",0.08001517386116741,0.017781585142428113
scale_3,Myogenic,SE_Band_Power,power,Mann-Whitney U,0.7829374255919916,0.042012304008947066,ns,38,0.682450662379233,0.08488183156551074,0.7031772972028495,5,0.7119305715988961,0.10404422644904796,0.686489253554309,False,"Good normal: False, Bad normal: True",-0.029479909219663036,0.016688043648540485
scale_3,Myogenic,rSO2_Band_Power,power,Mann-Whitney U,0.6455986819004403,0.07013182319234802,ns,38,0.7133635334542313,0.0975598955274411,0.724373961367744,5,0.7346008092475494,0.09709876393070915,0.793402574594618,False,"Good normal: False, Bad normal: True",-0.021237275793318133,-0.06902861322687404
