Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
SE_Positive_Ratio,proportion,Mann-Whitney U,0.07048072757448878,0.07901817512826649,ns,456,0.49957236842105257,0.03770111396604314,0.5,68,0.5034068627450982,0.03885145609144301,0.511,False,"Good normal: False, Bad normal: False",-0.0038344943240455898,-0.01100000000000001
SE_Negative_Ratio,proportion,Mann-Whitney U,0.07048072757448878,0.07901817512826649,ns,456,0.5004276315789473,0.03770111396604314,0.5,68,0.49659313725490195,0.038851456091443005,0.489,False,"Good normal: False, Bad normal: False",0.0038344943240453677,0.01100000000000001
SE_Directional_Asymmetry,proportion,Mann-Whitney U,0.5437496944248863,0.026523581254713168,ns,456,0.05328801169590644,0.05329517767502803,0.04,68,0.05624509803921569,0.053610957075620684,0.0433333333333333,False,"Good normal: False, Bad normal: False",-0.0029570863433092467,-0.0033333333333332993
rSO2_Positive_Ratio,proportion,Mann-Whitney U,0.3838797509771751,0.03803976389195783,ns,456,0.4927317251461989,0.0416216977244054,0.4963333333333335,68,0.4915294117647059,0.04966401993996666,0.505,False,"Good normal: False, Bad normal: False",0.0012023133814930143,-0.00866666666666649
rSO2_Negative_Ratio,proportion,Mann-Whitney U,0.3838797509771751,0.03803976389195783,ns,456,0.5072682748538012,0.041621697724405396,0.5036666666666665,68,0.5084705882352941,0.04966401993996664,0.495,False,"Good normal: False, Bad normal: False",-0.0012023133814929032,0.00866666666666649
rSO2_Directional_Asymmetry,proportion,Mann-Whitney U,0.0663150025742948,0.0802186347253132,ns,456,0.061741228070175444,0.05762708880088924,0.04,68,0.07545098039215688,0.06617800420945924,0.056,False,"Good normal: False, Bad normal: False",-0.013709752321981433,-0.016
MAP_Positive_Ratio,proportion,Mann-Whitney U,0.5155928183048792,0.028402104817468767,ns,456,0.48711184210526315,0.04617034252163398,0.496,68,0.47728431372549013,0.07675301787933171,0.49,False,"Good normal: False, Bad normal: False",0.00982752837977302,0.006000000000000005
MAP_Negative_Ratio,proportion,Mann-Whitney U,0.5155928183048792,0.028402104817468767,ns,456,0.5128881578947369,0.04617034252163398,0.504,68,0.5227156862745099,0.07675301787933171,0.51,False,"Good normal: False, Bad normal: False",-0.009827528379773076,-0.006000000000000005
MAP_Directional_Asymmetry,proportion,Mann-Whitney U,0.00043945982309287495,0.1535612508619819,***,456,0.06413888888888888,0.07120282613873168,0.04,68,0.11360784313725489,0.11206934806941957,0.0666666666666667,False,"Good normal: False, Bad normal: False",-0.049468954248366004,-0.026666666666666693
rSO2_contra_Positive_Ratio,proportion,Mann-Whitney U,0.8690362467758413,0.007202937670020663,ns,456,0.49212353801169595,0.06651033018303937,0.5,68,0.49703921568627446,0.03435284329079242,0.503333333333333,False,"Good normal: False, Bad normal: False",-0.004915677674578511,-0.0033333333333329662
rSO2_contra_Negative_Ratio,proportion,Mann-Whitney U,0.9459110962011601,0.0029637087288105876,ns,456,0.4991045321637426,0.06697010824403501,0.5,68,0.5029607843137257,0.03435284329079241,0.496666666666667,False,"Good normal: False, Bad normal: False",-0.003856252149983086,0.0033333333333330217
rSO2_contra_Directional_Asymmetry,proportion,Mann-Whitney U,0.23104972608946528,0.05231998428812214,ns,456,0.06487573099415206,0.07024155882927187,0.04,68,0.04992156862745098,0.047187924560933535,0.04,False,"Good normal: False, Bad normal: False",0.01495416236670108,0.0
