Scale,Band,Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
scale_3,Endothelial,SE_Positive_Ratio,proportion,Mann-Whitney U,0.9317115333355546,0.012918503578142882,ns,38,0.501578947368421,0.04533814787699288,0.5,6,0.49499999999999994,0.0425440947723653,0.5075000000000001,False,"Good normal: False, Bad normal: True",0.006578947368421073,-0.007500000000000062
scale_3,Endothelial,SE_Negative_Ratio,proportion,Mann-Whitney U,0.9317115333355546,0.012918503578142882,ns,38,0.498421052631579,0.04533814787699289,0.5,6,0.505,0.04254409477236529,0.4925,False,"Good normal: False, Bad normal: True",-0.006578947368421018,0.007500000000000007
scale_3,Endothelial,SE_Directional_Asymmetry,proportion,Mann-Whitney U,0.7701409219316965,0.04404938568195204,ns,38,0.06368421052631579,0.0637741391555822,0.05,6,0.06333333333333335,0.05046450898073483,0.06500000000000006,False,"Good normal: False, Bad normal: True",0.000350877192982435,-0.015000000000000055
scale_3,Endothelial,rSO2_Positive_Ratio,proportion,t-test,0.4848604951139849,0.3095916777027371,ns,38,0.485,0.05849462899806803,0.4925,6,0.4666666666666666,0.06431692364119003,0.4675,True,"Good normal: True, Bad normal: True",0.018333333333333368,0.024999999999999967
scale_3,Endothelial,rSO2_Negative_Ratio,proportion,t-test,0.48486049511398344,0.30959167770273804,ns,38,0.5149999999999999,0.058494628998068024,0.5075000000000001,6,0.5333333333333333,0.06431692364118999,0.5325,True,"Good normal: True, Bad normal: True",-0.018333333333333424,-0.02499999999999991
scale_3,Endothelial,rSO2_Directional_Asymmetry,proportion,t-test,0.6565865112381564,0.1967250878599471,ns,38,0.09999999999999999,0.06588277878581428,0.095,6,0.11333333333333334,0.0804155872120988,0.11000000000000001,True,"Good normal: True, Bad normal: True",-0.01333333333333335,-0.015000000000000013
scale_3,Endothelial,MAP_Positive_Ratio,proportion,t-test,0.3031651055285351,0.4579473130303926,ns,38,0.4639473684210526,0.06144826317270227,0.47250000000000003,6,0.43166666666666664,0.11745921277901819,0.405,True,"Good normal: True, Bad normal: True",0.032280701754385965,0.0675
scale_3,Endothelial,MAP_Negative_Ratio,proportion,t-test,0.3031651055285342,0.4579473130303935,ns,38,0.5360526315789473,0.06144826317270227,0.5275000000000001,6,0.5683333333333334,0.11745921277901818,0.595,True,"Good normal: True, Bad normal: True",-0.03228070175438602,-0.0674999999999999
scale_3,Endothelial,MAP_Directional_Asymmetry,proportion,Mann-Whitney U,0.009258554481244963,0.39232000817485424,**,38,0.10684210526315789,0.09337819825291978,0.08,6,0.23666666666666666,0.10191499726078918,0.22,False,"Good normal: False, Bad normal: True",-0.1298245614035088,-0.14
scale_3,Endothelial,rSO2_contra_Positive_Ratio,proportion,t-test,0.6490253262174512,0.20137588946165427,ns,38,0.48157894736842116,0.06864622647802886,0.495,6,0.49500000000000005,0.04939635614091389,0.51,True,"Good normal: True, Bad normal: True",-0.01342105263157889,-0.015000000000000013
