Scale,Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
scale_3,SE_Positive_Ratio,proportion,Mann-Whitney U,0.3235891530590761,0.08624412322935497,ns,114,0.4999122807017544,0.031343971476952975,0.4983333333333335,17,0.5022352941176471,0.029628665902083007,0.506666666666667,False,"Good normal: False, Bad normal: False",-0.002323013415892694,-0.008333333333333526
scale_3,SE_Negative_Ratio,proportion,Mann-Whitney U,0.3235891530590761,0.08624412322935497,ns,114,0.5000877192982456,0.031343971476952975,0.5016666666666665,17,0.49776470588235294,0.029628665902083,0.493333333333333,False,"Good normal: False, Bad normal: False",0.0023230134158926385,0.00833333333333347
scale_3,SE_Directional_Asymmetry,proportion,Mann-Whitney U,0.6383492889933511,0.041064791213318665,ns,114,0.042994152046783626,0.04544176219231438,0.0333333333333334,17,0.0447843137254902,0.037439013589597836,0.04,False,"Good normal: False, Bad normal: True",-0.0017901616787065755,-0.006666666666666599
scale_3,rSO2_Positive_Ratio,proportion,Mann-Whitney U,0.3693813660895804,0.07842653865212082,ns,114,0.49441520467836253,0.03788214818665917,0.49583333333333346,17,0.4942352941176471,0.04470377263253854,0.508,False,"Good normal: False, Bad normal: False",0.00017991056071542388,-0.012166666666666548
scale_3,rSO2_Negative_Ratio,proportion,Mann-Whitney U,0.3693813660895804,0.07842653865212082,ns,114,0.5055847953216375,0.03788214818665917,0.5041666666666664,17,0.5057647058823529,0.04470377263253852,0.492,False,"Good normal: False, Bad normal: False",-0.00017991056071542388,0.012166666666666437
scale_3,rSO2_Directional_Asymmetry,proportion,Mann-Whitney U,0.19742572450888196,0.1126135074237772,ns,114,0.0529356725146199,0.055128113545035995,0.031,17,0.06486274509803923,0.06053775897270981,0.0466666666666666,False,"Good normal: False, Bad normal: False",-0.01192707258341933,-0.0156666666666666
scale_3,MAP_Positive_Ratio,proportion,Mann-Whitney U,0.6659373749506815,0.03772045958784443,ns,114,0.48779532163742695,0.04271136368175825,0.4963333333333335,17,0.4772156862745098,0.07784519370524125,0.49,False,"Good normal: False, Bad normal: True",0.010579635362917172,0.006333333333333524
scale_3,MAP_Negative_Ratio,proportion,Mann-Whitney U,0.6659373749506815,0.03772045958784443,ns,114,0.5122046783625731,0.04271136368175825,0.5036666666666665,17,0.5227843137254903,0.07784519370524123,0.51,False,"Good normal: False, Bad normal: True",-0.010579635362917172,-0.006333333333333524
scale_3,MAP_Directional_Asymmetry,proportion,Mann-Whitney U,0.02119824868102961,0.20133940286694502,*,114,0.05830409356725147,0.06684819770706911,0.04,17,0.11427450980392158,0.11212023774688629,0.0666666666666667,False,"Good normal: False, Bad normal: False",-0.05597041623667011,-0.026666666666666693
scale_3,rSO2_contra_Positive_Ratio,proportion,Mann-Whitney U,0.5742494245628875,0.04908506158386551,ns,114,0.4933859649122807,0.06508207629419757,0.5016666666666665,17,0.4936078431372549,0.032600535802966873,0.496,False,"Good normal: False, Bad normal: True",-0.0002218782249742146,0.005666666666666487
scale_3,rSO2_contra_Negative_Ratio,proportion,Mann-Whitney U,0.4975968317102726,0.059261232887837634,ns,114,0.49784210526315786,0.06538433700149829,0.496666666666667,17,0.5063921568627452,0.03260053580296687,0.504,False,"Good normal: False, Bad normal: True",-0.008550051599587327,-0.007333333333333025
scale_3,rSO2_contra_Directional_Asymmetry,proportion,Mann-Whitney U,0.5350017776774401,0.0542036299762647,ns,114,0.059368421052631584,0.06865769292139233,0.04,17,0.04572549019607844,0.046939712411850056,0.0333333333333334,False,"Good normal: False, Bad normal: False",0.013642930856553145,0.006666666666666599
scale_5,SE_Positive_Ratio,proportion,Mann-Whitney U,0.3728999843705081,0.07785178476174473,ns,114,0.4999707602339182,0.031325253505516515,0.4983333333333335,17,0.502,0.02966338933208186,0.506666666666667,False,"Good normal: False, Bad normal: False",-0.002029239766081825,-0.008333333333333526
scale_5,SE_Negative_Ratio,proportion,Mann-Whitney U,0.3728999843705081,0.07785178476174473,ns,114,0.5000292397660819,0.031325253505516515,0.5016666666666665,17,0.49799999999999994,0.029663389332081857,0.493333333333333,False,"Good normal: False, Bad normal: False",0.0020292397660819916,0.00833333333333347
scale_5,SE_Directional_Asymmetry,proportion,Mann-Whitney U,0.541443110855252,0.053351181659536964,ns,114,0.04287719298245614,0.04550127799555634,0.0333333333333334,17,0.04525490196078432,0.036887126897048435,0.04,False,"Good normal: False, Bad normal: False",-0.0023777089783281816,-0.006666666666666599
scale_5,rSO2_Positive_Ratio,proportion,Mann-Whitney U,0.3730966772300356,0.0778197551199704,ns,114,0.49441812865497076,0.0377567594449353,0.4963333333333335,17,0.4942352941176471,0.04470377263253854,0.508,False,"Good normal: False, Bad normal: False",0.00018283453732365063,-0.011666666666666492
scale_5,rSO2_Negative_Ratio,proportion,Mann-Whitney U,0.3730966772300356,0.0778197551199704,ns,114,0.5055818713450292,0.0377567594449353,0.5036666666666665,17,0.5057647058823529,0.04470377263253852,0.492,False,"Good normal: False, Bad normal: False",-0.00018283453732370614,0.011666666666666492
scale_5,rSO2_Directional_Asymmetry,proportion,Mann-Whitney U,0.1986328338220934,0.11231084949513198,ns,114,0.05290643274853802,0.05481023863420507,0.031,17,0.06486274509803923,0.06053775897270981,0.0466666666666666,False,"Good normal: False, Bad normal: False",-0.01195631234950121,-0.0156666666666666
scale_5,MAP_Positive_Ratio,proportion,Mann-Whitney U,0.6584770670807442,0.03861918494022792,ns,114,0.4878245614035088,0.042723234314569085,0.4963333333333335,17,0.4772156862745098,0.07784519370524125,0.49,False,"Good normal: False, Bad normal: True",0.010608875128999051,0.006333333333333524
scale_5,MAP_Negative_Ratio,proportion,Mann-Whitney U,0.6584770670807442,0.03861918494022792,ns,114,0.5121754385964912,0.04272323431456908,0.5036666666666665,17,0.5227843137254903,0.07784519370524123,0.51,False,"Good normal: False, Bad normal: True",-0.010608875128999107,-0.006333333333333524
scale_5,MAP_Directional_Asymmetry,proportion,Mann-Whitney U,0.02177676004971804,0.2004486137742678,*,114,0.05836257309941521,0.06680552737986935,0.04,17,0.11427450980392158,0.11212023774688629,0.0666666666666667,False,"Good normal: False, Bad normal: False",-0.055911936704506365,-0.026666666666666693
scale_5,rSO2_contra_Positive_Ratio,proportion,Mann-Whitney U,0.5859718493421666,0.047589137775331275,ns,114,0.49338596491228076,0.065079054549802,0.503333333333333,17,0.4938039215686274,0.03277873184609053,0.496,False,"Good normal: False, Bad normal: True",-0.0004179566563466408,0.00733333333333297
scale_5,rSO2_contra_Negative_Ratio,proportion,Mann-Whitney U,0.5085125435023583,0.05776543138766625,ns,114,0.4978421052631579,0.06538132922675897,0.496666666666667,17,0.5061960784313727,0.032778731846090516,0.504,False,"Good normal: False, Bad normal: True",-0.00835397316821479,-0.007333333333333025
scale_5,rSO2_contra_Directional_Asymmetry,proportion,Mann-Whitney U,0.5717021862061544,0.049412016752342594,ns,114,0.059368421052631584,0.06864623473008266,0.04,17,0.046117647058823534,0.04691673196805263,0.0333333333333334,False,"Good normal: False, Bad normal: False",0.01325077399380805,0.006666666666666599
scale_10,SE_Positive_Ratio,proportion,Mann-Whitney U,0.5789106289543516,0.0484885354148975,ns,114,0.5006081871345028,0.035605818733149316,0.5,17,0.500450980392157,0.032801367937360326,0.512,False,"Good normal: False, Bad normal: False",0.00015720674234587229,-0.01200000000000001
