Scale,Band,Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
scale_3,Myogenic,ActualFS,technical,Mann-Whitney U,0.21165232547869806,0.19047602979231668,ns,38,1.7143244744208985,0.5566016320547134,1.57368421052632,5,1.674124512901092,0.17497977836217732,1.58201058201058,False,"Good normal: False, Bad normal: False",0.04019996151980654,-0.008326371484260076
scale_3,Myogenic,DataQuality,technical,t-test,,0.0,ns,38,1.0,0.0,1.0,5,1.0,0.0,1.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_3,Myogenic,SignalLength,technical,t-test,,0.0,ns,38,300.0,0.0,300.0,5,300.0,0.0,300.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_3,Myogenic,SE_Mean,location,t-test,0.8598660718466699,0.0845168403974296,ns,38,-0.0018856038474692777,0.036862056780355014,0.0032731252736431502,5,0.0011182932673921204,0.019471479799575638,0.0060308525623614,True,"Good normal: True, Bad normal: True",-0.0030038971148613983,-0.00275772728871825
scale_3,Myogenic,SE_Std,variability,Levene test,0.6350032264766706,1.2463773377271263,ns,38,5.433597025988182,3.868943213052265,5.29020684607524,5,4.024458574312478,3.4655134077654464,5.38126848205363,True,Variance ratio: 1.246,1.4091384516757044,-0.09106163597839068
scale_3,Myogenic,SE_Median,location,Mann-Whitney U,0.3258203320596968,0.14984014345203897,ns,38,0.0023235570751732435,0.2548890265797586,-0.01235208339255795,5,0.057099597926611276,0.18669992830105664,0.0013934555084748,False,"Good normal: False, Bad normal: True",-0.05477604085143803,-0.01374553890103275
scale_3,Myogenic,SE_Q1,location,Mann-Whitney U,0.4949044149271035,0.10408472008503339,ns,38,-3.1901205556023164,2.392375569338084,-2.91590857681899,5,-2.2744225495695667,2.0240332751327927,-2.69096269904641,False,"Good normal: False, Bad normal: True",-0.9156980060327498,-0.2249458777725799
scale_3,Myogenic,SE_Q3,location,t-test,0.36217556955387953,0.43838639585414935,ns,38,3.0990302764081887,2.1512395406730658,2.90795803467066,5,2.164252721142128,1.9485608328293125,2.37663526156007,True,"Good normal: True, Bad normal: True",0.9347775552660607,0.5313227731105901
scale_3,Myogenic,SE_IQR,variability,Levene test,0.742897406435036,1.2846085360132824,ns,38,6.289150832010509,4.500613926872393,5.88297327898834,5,4.438675270711695,3.970876297992527,5.06759796060648,True,Variance ratio: 1.285,1.850475561298814,0.81537531838186
scale_3,Myogenic,SE_Min,location,Mann-Whitney U,0.47163613471043986,0.10977144523552794,ns,38,-15.475459525962295,11.08087259951692,-15.9921898901736,5,-11.525677883989514,9.96332290789202,-15.159077696316,False,"Good normal: False, Bad normal: True",-3.9497816419727805,-0.8331121938576
scale_3,Myogenic,SE_Max,location,t-test,0.4717283651778096,0.34556162553302144,ns,38,15.406951225581599,10.682228152552591,15.7218560511218,5,11.735118596533548,10.087761291949267,15.2476718883355,True,"Good normal: True, Bad normal: True",3.671832629048051,0.47418416278630104
scale_3,Myogenic,SE_Range,variability,Levene test,0.6406142614849568,1.1781396648424838,ns,38,30.882410751543897,21.647274598493023,31.254647707628997,5,23.260796480523044,19.94365888298958,30.4067495846514,True,Variance ratio: 1.178,7.621614271020853,0.8478981229775968
scale_3,Myogenic,SE_Kurtosis,distribution_shape,Mann-Whitney U,0.7269763701981513,0.05324494304318187,ns,38,4.017186618432764,1.6371301217891607,3.59451248904363,5,3.8583162052287596,0.4371440928139003,3.65942571078109,False,"Good normal: False, Bad normal: True",0.15887041320400463,-0.06491322173746017
scale_3,Myogenic,SE_Skewness,distribution_shape,Mann-Whitney U,0.19769415685467873,0.19644085646649592,ns,38,0.04888052819949458,0.19802168986417593,0.01340923877639195,5,0.22168841263905295,0.28490376070690093,0.0368475603956148,False,"Good normal: False, Bad normal: False",-0.17280788443955836,-0.02343832161922285
