Scale,Band,Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
scale_3,Neurogenic,ActualFS,technical,Mann-Whitney U,0.17026075359083004,0.20674126967039563,ns,38,0.9063415829227033,0.2266597280268805,0.858620689655172,6,1.5661505798966033,1.6727130752402848,0.888719938923527,False,"Good normal: False, Bad normal: False",-0.6598089969739,-0.030099249268354944
scale_3,Neurogenic,DataQuality,technical,t-test,,0.0,ns,38,1.0,0.0,1.0,6,1.0,0.0,1.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_3,Neurogenic,SignalLength,technical,t-test,,0.0,ns,38,250.0,0.0,250.0,6,250.0,0.0,250.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_3,Neurogenic,SE_Mean,location,Mann-Whitney U,0.15964919935424757,0.21200052082664086,ns,38,0.003911097695601679,0.07777261814842824,-0.0009541792707323,6,-0.17982677684537496,0.36855462406940975,-0.06416538611361886,False,"Good normal: True, Bad normal: False",0.18373787454097665,0.06321120684288656
scale_3,Neurogenic,SE_Std,variability,Levene test,0.06992446919917626,8.341751569369226,ns,38,8.37758141811967,4.750156857224497,8.491330709667064,6,11.227034729358614,13.719446067430058,7.330675382357175,True,Variance ratio: 8.342,-2.8494533112389444,1.1606553273098896
scale_3,Neurogenic,SE_Median,location,Mann-Whitney U,0.9071552384087831,0.017582258344772395,ns,38,0.09405393929641581,0.599897289585134,-0.013899644420746652,6,-0.47783552448347333,1.4914517998731602,0.00782428748718345,False,"Good normal: False, Bad normal: False",0.5718894637798891,-0.0217239319079301
scale_3,Neurogenic,SE_Q1,location,Mann-Whitney U,0.9336089321908944,0.012558718818154155,ns,38,-5.4215455592419595,3.4255859944085585,-5.476326171635435,6,-10.204771598766213,15.25446603122135,-5.157644012393195,False,"Good normal: True, Bad normal: False",4.783226039524253,-0.31868215924223975
scale_3,Neurogenic,SE_Q3,location,Mann-Whitney U,0.9071552384087831,0.017582258344772395,ns,38,5.450736246734805,3.5740236794010234,5.151168511196215,6,8.517715785905812,11.499851247221047,5.357572552827095,False,"Good normal: True, Bad normal: False",-3.0669795391710073,-0.2064040416308801
scale_3,Neurogenic,SE_IQR,variability,Levene test,0.02985672113175552,14.797401557376682,*,38,10.872281805976765,6.952749711963559,10.50478658750285,6,18.72248738467203,26.74541403749759,10.515216565220285,True,Variance ratio: 14.797,-7.850205578695263,-0.010429977717436145
scale_3,Neurogenic,SE_Min,location,t-test,0.9004309769714827,0.05529689207271313,ns,38,-21.79636137064515,12.407852910685854,-23.145350647863,6,-21.0538758879464,19.36957181734715,-19.0725377868879,True,"Good normal: True, Bad normal: True",-0.7424854826987506,-4.072812860975102
scale_3,Neurogenic,SE_Max,location,t-test,0.7941715592832002,0.11534304025149655,ns,38,21.2969200099747,12.496041306110602,20.81086231125995,6,22.900413220406104,21.63103564679581,19.76509764313915,True,"Good normal: True, Bad normal: True",-1.603493210431406,1.0457646681207997
scale_3,Neurogenic,SE_Range,variability,Levene test,0.35498887525259504,2.7523254829831725,ns,38,43.09328138061985,24.694623779472042,43.7895342258539,6,43.95428910835255,40.96871191888901,38.837635430027,True,Variance ratio: 2.752,-0.861007727732698,4.951898795826899
scale_3,Neurogenic,SE_Kurtosis,distribution_shape,Mann-Whitney U,0.043359646592771944,0.3045609707744305,*,38,3.2736617094020004,0.8241770663318742,3.05890704462571,6,2.5929302737039417,0.6179147982010089,2.49085562237919,False,"Good normal: False, Bad normal: True",0.6807314356980587,0.56805142224652
scale_3,Neurogenic,SE_Skewness,distribution_shape,t-test,0.6295248462416076,0.21347894517577976,ns,38,-0.031593828998146944,0.15792030011900227,-0.03401966765702075,6,0.0006631007947325018,0.0850763942865931,-0.0313955026689303,True,"Good normal: True, Bad normal: True",-0.032256929792879446,-0.002624164988090448
scale_3,Neurogenic,SE_KDE_Entropy,complexity,t-test,0.8147815726209388,0.10355925679374509,ns,38,3.64793835332621,0.38094598657083095,3.700002477229535,6,3.6915170925448932,0.6431110799301695,3.5987987164339,True,"Good normal: True, Bad normal: True",-0.04357873921868327,0.10120376079563487
