Scale,Band,Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
scale_20,Endothelial,ActualFS,technical,Mann-Whitney U,0.07314625773198714,0.27014165640197596,ns,38,0.5307438156138462,0.11907109348904368,0.51025641025641,6,0.7639672364672364,0.6008717097789932,0.51025641025641,False,"Good normal: False, Bad normal: False",-0.2332234208533902,0.0
scale_20,Endothelial,DataQuality,technical,t-test,,0.0,ns,38,1.0,0.0,1.0,6,1.0,0.0,1.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_20,Endothelial,SignalLength,technical,t-test,,0.0,ns,38,200.0,0.0,200.0,6,200.0,0.0,200.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_20,Endothelial,SE_Mean,location,Mann-Whitney U,0.18146912644927393,0.2014465504788496,ns,38,-0.03249220391610375,0.21794972307883506,-0.030806518624864998,6,0.47041587258324236,0.95302820375192,0.07608854677219205,False,"Good normal: True, Bad normal: False",-0.5029080764993461,-0.10689506539705705
scale_20,Endothelial,SE_Std,variability,Levene test,0.10088833965179601,2.8211037882320524,ns,38,2.9158324245591385,1.2280792839528434,2.53877240858777,6,3.5631365485856996,2.0626993775081433,2.9501643098720747,True,Variance ratio: 2.821,-0.6473041240265611,-0.4113919012843046
scale_20,Endothelial,SE_Median,location,t-test,0.6778480307743131,0.18376485413858654,ns,38,-0.02831742824032889,0.3987906381912352,0.0011697961034670499,6,0.05325148641814768,0.6914987342477924,0.23246731759885447,True,"Good normal: True, Bad normal: True",-0.08156891465847657,-0.23129752149538743
scale_20,Endothelial,SE_Q1,location,Mann-Whitney U,0.41172327389003505,0.12375002722162406,ns,38,-2.0470313497125265,1.3274506972264208,-1.68160533555693,6,-2.417602484922402,1.2226167857854167,-2.52419626129952,False,"Good normal: False, Bad normal: True",0.3705711352098753,0.8425909257425901
scale_20,Endothelial,SE_Q3,location,Mann-Whitney U,0.2740265973391328,0.16490208971104953,ns,38,1.8791615930704502,0.844629875643127,1.72640181767862,6,3.18628224893695,2.8630906929899327,1.95071712744127,False,"Good normal: False, Bad normal: False",-1.3071206558664998,-0.22431530976265002
scale_20,Endothelial,SE_IQR,variability,Levene test,0.10037044000458954,3.3785267952735105,ns,38,3.9261929427829756,2.100480847550346,3.36209638074846,6,5.603884733859349,3.860845384746703,4.696082083646635,True,Variance ratio: 3.379,-1.6776917910763736,-1.333985702898175
scale_20,Endothelial,SE_Min,location,Mann-Whitney U,0.49293219542794126,0.10336602063975661,ns,38,-6.190952039952846,2.4793567598598663,-5.54977240252348,6,-5.037017806610017,1.8238740784835623,-5.582768850339795,False,"Good normal: False, Bad normal: True",-1.153934233342829,0.0329964478163145
