Scale,Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
scale_3,ActualFS,technical,Mann-Whitney U,0.22721361796128614,0.10550567339002642,ns,114,1.0504699576524827,0.6073932715497653,0.858620689655172,17,1.3147840860404998,1.0828978633085373,0.918819188191882,False,"Good normal: False, Bad normal: False",-0.26431412838801704,-0.06019849853671
scale_3,DataQuality,technical,t-test,,0.0,ns,114,1.0,0.0,1.0,17,1.0,0.0,1.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_3,SignalLength,technical,Mann-Whitney U,0.7853028946127603,0.02380101425741557,ns,114,250.0,41.00507199363928,250.0,17,247.05882352941177,41.346811527969265,250.0,False,"Good normal: False, Bad normal: False",2.941176470588232,0.0
scale_5,ActualFS,technical,Mann-Whitney U,0.22721361796128614,0.10550567339002642,ns,114,1.0504699576524827,0.6073932715497653,0.858620689655172,17,1.3147840860404998,1.0828978633085373,0.918819188191882,False,"Good normal: False, Bad normal: False",-0.26431412838801704,-0.06019849853671
scale_5,DataQuality,technical,t-test,,0.0,ns,114,1.0,0.0,1.0,17,1.0,0.0,1.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_5,SignalLength,technical,Mann-Whitney U,0.7853028946127603,0.02380101425741557,ns,114,250.0,41.00507199363928,250.0,17,247.05882352941177,41.346811527969265,250.0,False,"Good normal: False, Bad normal: False",2.941176470588232,0.0
scale_10,ActualFS,technical,Mann-Whitney U,0.22721361796128614,0.10550567339002642,ns,114,1.0504699576524827,0.6073932715497653,0.858620689655172,17,1.3147840860404998,1.0828978633085373,0.918819188191882,False,"Good normal: False, Bad normal: False",-0.26431412838801704,-0.06019849853671
scale_10,DataQuality,technical,t-test,,0.0,ns,114,1.0,0.0,1.0,17,1.0,0.0,1.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_10,SignalLength,technical,Mann-Whitney U,0.7853028946127603,0.02380101425741557,ns,114,250.0,41.00507199363928,250.0,17,247.05882352941177,41.346811527969265,250.0,False,"Good normal: False, Bad normal: False",2.941176470588232,0.0
scale_20,ActualFS,technical,Mann-Whitney U,0.22721361796128614,0.10550567339002642,ns,114,1.0504699576524827,0.6073932715497653,0.858620689655172,17,1.3147840860404998,1.0828978633085373,0.918819188191882,False,"Good normal: False, Bad normal: False",-0.26431412838801704,-0.06019849853671
scale_20,DataQuality,technical,t-test,,0.0,ns,114,1.0,0.0,1.0,17,1.0,0.0,1.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_20,SignalLength,technical,Mann-Whitney U,0.7853028946127603,0.02380101425741557,ns,114,250.0,41.00507199363928,250.0,17,247.05882352941177,41.346811527969265,250.0,False,"Good normal: False, Bad normal: False",2.941176470588232,0.0
