Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
ActualFS,technical,Mann-Whitney U,0.015158092427221204,0.10609299749879385,*,456,1.0504699576524825,0.6053875645709746,0.858620689655172,68,1.3147840860405,1.0583762420402734,0.918819188191882,False,"Good normal: False, Bad normal: False",-0.2643141283880175,-0.06019849853671
DataQuality,technical,t-test,,0.0,ns,456,1.0,0.0,1.0,68,1.0,0.0,1.0,True,"Good normal: True, Bad normal: True",0.0,0.0
SignalLength,technical,Mann-Whitney U,0.5801062844513667,0.02416794194336437,ns,456,250.0,40.869666873240725,250.0,68,247.05882352941177,40.41053592221505,250.0,False,"Good normal: False, Bad normal: False",2.941176470588232,0.0
SE_Mean,location,Mann-Whitney U,0.5806142321601968,0.02413553896466135,ns,456,-0.005379111525109002,0.1162874236740543,-0.00023517696337565,68,0.10046775326918489,0.6161093551228828,0.00250606400334335,False,"Good normal: False, Bad normal: False",-0.1058468647942939,-0.002741240966719
SE_Std,variability,Levene test,0.0015472747947988337,5.324521628014121,**,456,4.805926183549245,3.687776429269535,3.8074965564819347,68,5.883201530875336,8.509516444591238,3.6981139507483647,True,Variance ratio: 5.325,-1.0772753473260916,0.10938260573357006
SE_Median,location,Mann-Whitney U,0.23456335306670462,0.051927977772453206,ns,456,0.013941371040367771,0.42761569774878144,-0.0051658228879499,68,-0.17316153187476072,1.0350454926032293,0.0170550495867786,False,"Good normal: False, Bad normal: False",0.1871029029151285,-0.022220872474728502
SE_Q1,location,Mann-Whitney U,0.6711565203019467,0.018547045871056773,ns,456,-3.1249943567564302,2.5577878879004867,-2.3925999507363747,68,-4.784116398649232,9.165955395545067,-2.65948896014396,False,"Good normal: False, Bad normal: False",1.6591220418928017,0.2668890094075853
SE_Q3,location,Mann-Whitney U,0.8256979632933387,0.00962045958731257,ns,456,3.0474758592775375,2.5345416997277335,2.33009349558424,68,4.411979682629227,7.051588069545644,2.2557924750077047,False,"Good normal: False, Bad normal: False",-1.364503823351689,0.07430102057653531
SE_IQR,variability,Levene test,6.274757516644441e-05,10.255353389161785,***,456,6.172470216033967,5.040559874037343,4.71186947883199,68,9.196096081278458,16.141879204798812,5.064746752275354,True,Variance ratio: 10.255,-3.023625865244491,-0.3528772734433643
SE_Min,location,Mann-Whitney U,0.09150474143390548,0.07371935017100525,ns,456,-12.050114672962017,9.853706261805536,-8.74199809480966,68,-11.403359201446948,13.066954280186506,-6.77905924094404,False,"Good normal: False, Bad normal: False",-0.6467554715150694,-1.9629388538656194
