Metric,Analysis,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Metric_Mean,Good_MOCA_Metric_Std,Bad_MOCA_N,Bad_MOCA_Metric_Mean,Bad_MOCA_Metric_Std,Good_Normal,Bad_Normal
CardiacCouplingStrength_Cardiac,MOCA_to_Metric,Mann-Whitney,0.007264797044573901,0.3555648678521224,**,49,0.10429348213822229,0.09638635843560535,8,0.19773644191185966,0.0998397108508419,False,True
PulseAmplitudeSE_Cardiac,MOCA_to_Metric,Mann-Whitney,0.3129382794924007,0.1336553557382489,ns,49,0.5809304211994988,0.3973747661237375,8,0.7912169311579844,0.539308198256698,False,True
PulseAmplitudeRSO2_Cardiac,MOCA_to_Metric,Mann-Whitney,0.04544000034858146,0.26498043341879823,*,49,0.08417072098136369,0.060031654415666054,8,0.14658485407050562,0.08703976023580733,False,True
CardiacPhaseLag_Cardiac,MOCA_to_Metric,Mann-Whitney,0.19206094600396162,0.17278610643927023,ns,49,-0.20816326530612245,1.289676434661985,8,0.42500000000000004,1.1877349391654208,False,True
PulseWaveVelocity_Cardiac,MOCA_to_Metric,Mann-Whitney,0.8051456731931074,0.03637292728717381,ns,40,1.3150000000000002,0.5726904565071422,6,1.2333333333333334,0.6623191577077223,False,True
DominantCardiacFreq_Cardiac,MOCA_to_Metric,t-test,0.018626238804180954,0.9246585336191757,*,49,0.5472735969387755,0.08097128340210112,8,0.47607421875,0.04034920441958586,True,True
EstimatedHeartRate_Cardiac,MOCA_to_Metric,Mann-Whitney,0.021650232589082077,0.3725331903292,*,35,35.189732142857146,3.498184154370472,3,31.25,0.6765823467065927,False,False
SE_to_rSO2_Causality_Cardiac,MOCA_to_Metric,Mann-Whitney,0.6765011130172648,0.05526510628960215,ns,49,0.04452932697964153,0.10858463179707918,8,0.02641059116461541,0.02345881218938287,False,True
rSO2_to_SE_Causality_Cardiac,MOCA_to_Metric,Mann-Whitney,0.07083833401725802,0.23927841696742336,ns,49,0.035034274897658535,0.048186898916942125,8,0.08319255629045236,0.09024827922794468,False,False
Bidirectional_Causality_Cardiac,MOCA_to_Metric,Mann-Whitney,0.19827447397749398,0.17039886415623276,ns,49,0.039781800938650067,0.06924938254299537,8,0.05480157372753389,0.050947930086258295,False,True
AutoregulationEffectiveness_Endothelial,MOCA_to_Metric,t-test,0.30327950529310777,0.39625497784097147,ns,49,0.6459435391198645,0.18953188767186963,8,0.5724790573704088,0.15408269894964083,True,True
AutoregulationTimeConstant_Endothelial,MOCA_to_Metric,Mann-Whitney,0.08021082701610782,0.28013845843959156,ns,32,18.125,7.803018439949604,7,12.857142857142858,7.559289460184545,False,False
BilateralEfficiency_Endothelial,MOCA_to_Metric,t-test,0.2734132671223978,0.4218580505900928,ns,49,0.4288302837104145,0.2409266480475375,8,0.3254482803648182,0.2717390843460677,True,True
COx_CI_Lower_Endothelial,MOCA_to_Metric,t-test,0.8432711369756656,0.07574902875511275,ns,49,-0.21924658329601301,0.2957446409855123,8,-0.24278831276105012,0.3989303620322236,True,True
COx_CI_Upper_Endothelial,MOCA_to_Metric,t-test,0.7159790928469363,0.13945676713211144,ns,49,0.25484947065487334,0.29466241872977667,8,0.2978380708281466,0.38888191072683354,True,True
COx_Stability_Endothelial,MOCA_to_Metric,Mann-Whitney,0.6157634582103849,0.0689362697157772,ns,46,0.6563736668262345,0.4136964196540129,7,0.6717399355081742,0.5545315289801803,False,False
CardiacCerebralCoupling_Endothelial,MOCA_to_Metric,Mann-Whitney,0.42564031395867075,0.12441959543267449,ns,36,26.475241257425353,63.54997886578345,5,7.504491529244008,10.905222405598916,False,False
COx_SingleHemisphere_Endothelial,MOCA_to_Metric,Mann-Whitney,0.22368304843683076,0.1611681476162248,ns,49,0.19338091221661477,0.4162075180244159,8,-0.007946259978271308,0.47462251076286815,False,True
COx_Window_SE_rSO2_Endothelial,MOCA_to_Metric,Mann-Whitney,0.38344358992060384,0.11544212413493246,ns,49,0.04203497925313938,0.29996972109738956,8,-0.1047294682537025,0.30857318235837655,False,True
XCorr_MaxCorr_Endothelial,MOCA_to_Metric,Mann-Whitney,0.17496352595832704,0.17966307078172503,ns,49,0.357617388043799,0.1753271014344971,8,0.44862370115670436,0.19419106263542352,False,True
XCorr_OptimalLag_Endothelial,MOCA_to_Metric,Mann-Whitney,0.32279936795815445,0.13095937614075895,ns,49,0.0,23.54074481970922,8,8.75,18.850918886280922,True,False
XCorr_Asymmetry_Endothelial,MOCA_to_Metric,t-test,0.3824748660331968,0.33571692174615264,ns,49,-0.0004046140025078189,0.08106632841419699,8,0.027585940431547978,0.09775097180017618,True,True
XCorr_Width_Endothelial,MOCA_to_Metric,t-test,0.2766768956252474,0.41896837531500064,ns,49,77.14285714285714,29.720924166878344,8,65.0,23.299294900428702,True,True
CVRI,MOCA_to_Metric,Mann-Whitney,0.9910123869116801,0.0014920248731798977,ns,49,0.8147644444866852,0.1999568299882379,8,0.8610378764302181,0.0841292828108749,False,True
SE_alpha,MOCA_to_Metric,t-test,0.11972429291866385,0.6026871732004508,ns,49,0.6795688223725411,0.19770303602039135,8,0.8112715331741581,0.3273907476279819,True,True
rSO2_alpha,MOCA_to_Metric,Mann-Whitney,0.8304800981849877,0.02835636556858247,ns,49,1.0591285713159837,0.27191811785703784,8,1.0199254720757427,0.3272392487745641,False,True
cross_DFA,MOCA_to_Metric,Mann-Whitney,0.8304800981849877,0.02835636556858247,ns,49,0.8693486968442619,0.17183643146734548,8,0.9155985026249505,0.289448224034111,False,True
VasomotionStrength_SE,MOCA_to_Metric,Mann-Whitney,0.8129387409392085,0.03134328042898723,ns,49,2.291752789060736,1.1776278226911225,8,2.281496683892242,1.3108474827716223,False,True
VasomotionStrength_rSO2,MOCA_to_Metric,Mann-Whitney,0.016419160971997002,0.31781657364848764,*,49,0.8703657371891524,0.5479234743421413,8,1.4399339976534304,0.662936921497335,False,True
VasomotionCoupling,MOCA_to_Metric,t-test,0.45126637940655345,0.28931380733663553,ns,49,0.03854581644227951,0.2632381519551802,8,-0.04787331151857099,0.4752727906938714,True,True
EndothelialDysfunctionIndex,MOCA_to_Metric,Mann-Whitney,0.05096790192648595,0.25851559302135996,ns,49,0.7855966914317173,0.15454642261833337,8,0.6146615233685232,0.24249844714739316,False,True
VasomotionRegularity,MOCA_to_Metric,t-test,0.8937750643149787,0.05115396198248019,ns,49,0.016705370452981143,0.2029928804087954,8,0.0067911779859433224,0.11215556174206935,True,True
EstimatedCCP,MOCA_to_Metric,Mann-Whitney,0.970449838729528,0.004995026170608251,ns,48,-0.6101903155871188,13.043831604210109,7,-1.269047275260768,3.8613774997234445,False,True
EstimatedRAP,MOCA_to_Metric,Mann-Whitney,0.7267392681353779,0.04628794193215917,ns,49,0.2344532545487664,1.704546046195235,8,-0.1762685002040269,1.0816712278215463,False,True
FractalDim_SE,MOCA_to_Metric,Mann-Whitney,0.6931066065127636,0.052271700672862305,ns,49,0.9116438755914439,0.09996893087082788,8,0.8857752121145535,0.14258720183201232,False,True
FractalDim_rSO2,MOCA_to_Metric,t-test,0.23467928307818123,0.46057401486216804,ns,46,0.74316812268732,0.1004363354384276,8,0.6992393317611896,0.05224938012886759,True,True
SE_Power_Endothelial,MOCA_to_Metric,Mann-Whitney,0.9371487328844652,0.010444470620889332,ns,49,5.753112284593791,7.402355195583665,8,5.800470001403746,5.785559135425917,False,True
