Scale,Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
scale_3,rSO2_Mean,location,Mann-Whitney U,0.004724964797610805,0.2468397376286926,**,114,0.00041038436412421593,0.01406853752165872,0.00046092123513995003,17,-0.05796705448779704,0.14382614950386605,-0.008162225061613,False,"Good normal: False, Bad normal: False",0.05837743885192126,0.00862314629675295
scale_3,rSO2_Std,variability,Levene test,0.002006924505203412,3.091085616614013,**,114,0.7964028887754215,0.520483724371141,0.701291698218247,17,1.3557619261186677,0.9150876006138258,1.15736654037444,True,Variance ratio: 3.091,-0.5593590373432462,-0.456074842156193
scale_3,rSO2_Q1,location,Mann-Whitney U,0.003976728001536796,0.25162693254027935,**,114,-0.41903997310500873,0.3042085750591284,-0.3746790494692575,17,-0.8378538196887472,0.6570570982338096,-0.789065131173145,False,"Good normal: False, Bad normal: True",0.41881384658373844,0.4143860817038875
scale_3,rSO2_Q3,location,Mann-Whitney U,0.004243697580990292,0.2498317344484343,**,114,0.3987760108651998,0.28707821431848846,0.3517856862404375,17,0.7056912925965243,0.4739221529657985,0.643979438183549,False,"Good normal: False, Bad normal: True",-0.3069152817313245,-0.2921937519431115
scale_3,rSO2_IQR,variability,Levene test,0.0015839889054635006,3.703161640938887,**,114,0.8178159839702084,0.5806867273107237,0.734073793983266,17,1.543545112285272,1.1174503454715854,1.428865035844,True,Variance ratio: 3.703,-0.7257291283150635,-0.694791241860734
scale_3,rSO2_Range,variability,Levene test,0.04550989445153116,2.338094089271936,*,114,4.688024144947216,3.498959440783763,3.96076041979424,17,7.214516540377956,5.350198561522083,6.96745484170634,True,Variance ratio: 2.338,-2.52649239543074,-3.0066944219121003
scale_3,rSO2_KDE_Entropy,complexity,Mann-Whitney U,0.010524607280899852,0.22350216243470705,*,114,3.045510793287892,0.022206447644751343,3.03808529901689,17,3.075329970450424,0.04936454223859492,3.05438852384654,False,"Good normal: False, Bad normal: False",-0.029819177162532018,-0.016303224829649743
scale_3,rSO2_Mode_Angle,location,Mann-Whitney U,0.03519865586025274,0.18400780441411627,*,114,-0.003442090010870814,0.054476594159007144,0.00384244583527675,17,-0.05120032319774653,0.11451145685822482,-0.0407824716400143,False,"Good normal: False, Bad normal: False",0.04775823318687572,0.04462491747529105
scale_3,rSO2_Positive_Mean,location,Mann-Whitney U,0.007483361923957884,0.23367495162182897,**,114,0.58640263448895,0.411462818066689,0.48577274118715796,17,0.9546116259099948,0.5769956813093554,0.865489008402644,False,"Good normal: False, Bad normal: True",-0.3682089914210448,-0.379716267215486
scale_3,rSO2_Negative_Mean,location,Mann-Whitney U,0.0064794931221791125,0.2378637471694674,**,114,-0.5624329875670374,0.356781304456249,-0.4909224395934525,17,-1.0599902418296427,0.7987159189803995,-0.902272635892609,False,"Good normal: False, Bad normal: True",0.49755725426260533,0.4113501962991565
scale_3,rSO2_Negative_Std,variability,Levene test,0.0017981750400309115,5.0200856563561524,**,114,0.5224340402310141,0.35531880391097087,0.4581567047512105,17,0.9255684024497354,0.7961112393071976,0.756205020872672,True,Variance ratio: 5.020,-0.40313436221872123,-0.29804831612146154
scale_3,MAP_Directional_Asymmetry,proportion,Mann-Whitney U,0.02119824868102961,0.20133940286694502,*,114,0.05830409356725147,0.06684819770706911,0.04,17,0.11427450980392158,0.11212023774688629,0.0666666666666667,False,"Good normal: False, Bad normal: False",-0.05597041623667011,-0.026666666666666693
scale_3,rSO2_autoregulation_capacity,biomarker,t-test,0.03478130011796503,1.038723913473187,*,38,0.33333333333333287,1.1251260139334012e-16,0.333333333333333,5,0.333333333333333,0.0,0.333333333333333,True,"Good normal: True, Bad normal: True",-1.1102230246251565e-16,0.0
scale_3,rSO2_arterial_stiffness_index,biomarker,Mann-Whitney U,0.018257713812280595,0.35994995859596846,*,38,0.018596491228070174,0.014049068427910563,0.0133333333333334,5,0.03333333333333336,0.009428090415820609,0.0333333333333334,False,"Good normal: False, Bad normal: True",-0.014736842105263187,-0.020000000000000004
scale_5,rSO2_Mean,location,Mann-Whitney U,0.004624932511230828,0.24743813699264094,**,114,0.0004102816407880482,0.014068395020929712,0.00046383928346844995,17,-0.05796651545175447,0.14382642706201101,-0.0081520176808564,False,"Good normal: False, Bad normal: False",0.058376797092542516,0.00861585696432485
scale_5,rSO2_Std,variability,Levene test,0.002010671278744429,3.092915928548326,**,114,0.7959882477619433,0.5202439664418632,0.700479962472096,17,1.355252506937747,0.9149368292786643,1.1560805461716,True,Variance ratio: 3.093,-0.5592642591758037,-0.45560058369950396
scale_5,rSO2_Q1,location,Mann-Whitney U,0.003976728001536796,0.25162693254027935,**,114,-0.4188766796645262,0.30413939282944247,-0.374617662780067,17,-0.8378262221227901,0.6570631555486686,-0.789356247521681,False,"Good normal: False, Bad normal: True",0.41894954245826393,0.414738584741614
scale_5,rSO2_Q3,location,Mann-Whitney U,0.004243697580990292,0.2498317344484343,**,114,0.39863468871702407,0.28702216277259746,0.35157093224489955,17,0.7058252621184526,0.473925039491533,0.643775644077005,False,"Good normal: False, Bad normal: True",-0.3071905734014286,-0.2922047118321055
scale_5,rSO2_IQR,variability,Levene test,0.001568964487611414,3.70454169830225,**,114,0.8175113683815501,0.5805634484088034,0.7336239180702595,17,1.5436514842412419,1.1174212690074625,1.42872774878962,True,Variance ratio: 3.705,-0.7261401158596917,-0.6951038307193604
scale_5,rSO2_Range,variability,Levene test,0.04544555855705543,2.339597343183691,*,114,4.684576618153936,3.495495782739259,3.9584481004554,17,7.210505310117908,5.346620291037488,6.9587496565025,True,Variance ratio: 2.340,-2.525928691963972,-3.0003015560471002
scale_5,rSO2_KDE_Entropy,complexity,Mann-Whitney U,0.010524607280899852,0.22350216243470705,*,114,3.045494141383021,0.022190482514335558,3.038063059256695,17,3.075301342148257,0.04935554307175919,3.05433222453566,False,"Good normal: False, Bad normal: False",-0.02980720076523591,-0.016269165278965048
scale_5,rSO2_Mode_Angle,location,Mann-Whitney U,0.03460807992896921,0.1846062037780646,*,114,-0.0034233825387281944,0.05455229504799955,0.00339184266311495,17,-0.05144723700308885,0.11453820630488747,-0.0419645414272622,False,"Good normal: False, Bad normal: False",0.04802385446436065,0.04535638409037715
scale_5,rSO2_Positive_Mean,location,Mann-Whitney U,0.007483361923957884,0.23367495162182897,**,114,0.5861414959008429,0.41133034099848376,0.4856124237559125,17,0.9543008216677367,0.5769100380388542,0.864621964788293,False,"Good normal: False, Bad normal: True",-0.3681593257668938,-0.3790095410323805
scale_5,rSO2_Negative_Mean,location,Mann-Whitney U,0.0064794931221791125,0.2378637471694674,**,114,-0.5621726727319641,0.35669503507937433,-0.49038291711324355,17,-1.05967273840077,0.7986872545996272,-0.901845917619669,False,"Good normal: False, Bad normal: True",0.4975000656688059,0.4114630005064255
