Scale,Band,Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
scale_20,Neurogenic,SE_Std,variability,Levene test,0.02230361528994579,40.40070316970917,*,38,3.007099329694775,2.260361937174505,2.5945921345750804,6,7.9607591666880815,14.367210257247422,2.67477694950402,True,Variance ratio: 40.401,-4.953659836993307,-0.08018481492893947
scale_20,Neurogenic,SE_IQR,variability,Levene test,0.018842050817856955,66.0906043702622,*,38,4.076226989265885,3.340457430965776,3.5021705318478746,6,13.951737953267147,27.156625507605405,3.749148965010655,True,Variance ratio: 66.091,-9.875510964001261,-0.24697843316278023
scale_20,Neurogenic,SE_Range,variability,Levene test,0.04792345806421645,18.858326751264723,*,38,13.83589312412759,10.09073955822677,11.38259899856375,6,27.382429186084547,43.820222193449595,12.7660580037501,True,Variance ratio: 18.858,-13.546536061956957,-1.3834590051863493
scale_20,Neurogenic,SE_Positive_Std,variability,Levene test,0.02675815999872273,36.49407744983744,*,38,1.7617273884093598,1.2044677699904267,1.45455393936914,6,4.142199623648235,7.2762293209219315,1.5060395769794699,True,Variance ratio: 36.494,-2.380472235238875,-0.05148563761032987
scale_20,Neurogenic,SE_Negative_Std,variability,Levene test,0.023111803520481554,33.44205284122431,*,38,1.7528729349450451,1.3237459938919562,1.4547814703288449,6,4.415165699578289,7.655104491837429,1.7136358269015801,True,Variance ratio: 33.442,-2.6622927646332437,-0.25885435657273526
scale_20,Neurogenic,rSO2_Std,variability,Levene test,0.0077702996104407306,25.28907327580827,**,38,0.36628224353297634,0.21138645636661063,0.32808252442902097,6,0.9027398137036725,1.0630253366037261,0.567657961367325,True,Variance ratio: 25.289,-0.5364575701706962,-0.23957543693830408
scale_20,Neurogenic,rSO2_IQR,variability,Levene test,0.013262558123983234,15.05975797861128,*,38,0.4549502471715275,0.2931789149570938,0.387156735564543,6,1.045731679552604,1.137736600679318,0.7236165712347085,True,Variance ratio: 15.060,-0.5907814323810765,-0.33645983567016546
scale_20,Neurogenic,rSO2_Range,variability,Levene test,0.009618202540421707,16.325471649283028,**,38,1.8197763835898157,1.038270571176671,1.71170731338921,6,4.008272786092587,4.195110580469005,2.708846873265955,True,Variance ratio: 16.325,-2.1884964025027713,-0.997139559876745
scale_20,Neurogenic,rSO2_Mode_Angle,location,t-test,0.04116322858963169,0.9254431198767732,*,38,-0.01413105794998225,0.04696871431688232,-0.0175647894721003,6,0.03142460432539338,0.06348108322821502,0.0270855707161406,True,"Good normal: True, Bad normal: True",-0.04555566227537563,-0.0446503601882409
scale_20,Neurogenic,rSO2_Positive_Std,variability,Levene test,0.023333634396479667,6.826768301303339,*,38,0.22423162064349308,0.13173952054207205,0.207952894467487,6,0.4248036857935072,0.34421014015820456,0.347027560337158,True,Variance ratio: 6.827,-0.2005720651500141,-0.139074665869671
scale_20,Neurogenic,rSO2_Negative_Std,variability,Levene test,0.008535261532421914,53.44224624227895,**,38,0.23456721746473735,0.14353743408700745,0.20939589574457101,6,0.7329260973133819,1.0493189845220743,0.3510278316950825,True,Variance ratio: 53.442,-0.4983588798486445,-0.1416319359505115
