Metric,Analysis,Test_Type,p_value,Effect_Size,Significance,Good_Metric_N,Good_Metric_MOCA_Mean,Good_Metric_MOCA_Std,Bad_Metric_N,Bad_Metric_MOCA_Mean,Bad_Metric_MOCA_Std,Good_Normal,Bad_Normal,Good_MOCA_N,Good_MOCA_Metric_Mean,Good_MOCA_Metric_Std,Bad_MOCA_N,Bad_MOCA_Metric_Mean,Bad_MOCA_Metric_Std
COx_SingleHemisphere_Endothelial,Metric_to_MOCA,t-test,0.04503277338629044,0.6474795666376855,*,13.0,-1.4615384615384615,1.8081014266989475,44.0,-0.29545454545454547,1.7989602352799219,True,True,,,,,,
VasomotionStrength_SE,Metric_to_MOCA,Mann-Whitney,0.03215142230247908,0.2837840999575374,*,25.0,-1.12,1.6411378166788229,32.0,-0.125,1.9134498484623643,True,False,,,,,,
rSO2_Power_Endothelial,Metric_to_MOCA,Mann-Whitney,0.003822391410929316,0.38311554571104467,**,43.0,-0.13953488372093023,1.7400245667236345,14.0,-1.8571428571428572,1.6104057232283402,False,True,,,,,,
PowerRatio_Endothelial,Metric_to_MOCA,Mann-Whitney,0.00295801001853007,0.3936600452968251,**,33.0,-1.1818181818181819,1.8106377580590467,24.0,0.2916666666666667,1.5736738147920994,True,False,,,,,,
Lx_Endothelial,Metric_to_MOCA,Mann-Whitney,0.029473181781196685,0.28836380679274576,*,16.0,0.3125,1.4930394055974097,41.0,-0.9024390243902439,1.8815535874481557,True,False,,,,,,
TransferGainVariability_LF,Metric_to_MOCA,Mann-Whitney,0.029826003995397383,0.28774053227633717,*,54.0,-0.6851851851851852,1.8204713682986746,3.0,1.6666666666666667,0.5773502691896257,False,False,,,,,,
TransferPhaseVariability_Myogenic,Metric_to_MOCA,Mann-Whitney,0.023075544657594503,0.30095780390085786,*,28.0,0.03571428571428571,1.855565060331136,29.0,-1.1379310344827587,1.6844697752246314,False,True,,,,,,
AutonomicModulation_Neurogenic,Metric_to_MOCA,Mann-Whitney,0.013732434684246104,0.35567479388320733,*,22.0,-1.1818181818181819,1.7898221150335591,26.0,0.07692307692307693,1.718675697694639,True,False,,,,,,
PowerRatio_Neurogenic,Metric_to_MOCA,Mann-Whitney,0.016911552556838523,0.31638111503949595,*,20.0,-1.35,1.7252002172135512,37.0,-0.13513513513513514,1.7975625806161053,True,False,,,,,,
Lx_Neurogenic,Metric_to_MOCA,Mann-Whitney,0.04388725712670899,0.2669152591800622,*,16.0,0.25,1.4832396974191326,41.0,-0.8780487804878049,1.8999358140634584,True,False,,,,,,
AmplitudeCorr_Neurogenic,Metric_to_MOCA,t-test,0.03220285198635661,0.582979559917915,*,27.0,-1.1111111111111112,1.8045526471705546,30.0,-0.06666666666666667,1.7798359733284477,True,True,,,,,,
WaveletCoherence_Neurogenic,Metric_to_MOCA,t-test,0.046226295977429215,0.5811267611210893,*,18.0,-1.2777777777777777,1.8086574662067332,39.0,-0.23076923076923078,1.798559927765873,True,True,,,,,,
rSO2_to_SE_Causality_Respiratory,Metric_to_MOCA,Mann-Whitney,0.034476156910734246,0.29044316176456453,*,49.0,-0.40816326530612246,1.836191340643938,4.0,-2.5,1.2909944487358056,False,True,,,,,,
Bidirectional_Causality_Respiratory,Metric_to_MOCA,Mann-Whitney,0.03468188547513615,0.28478919697964106,*,48.0,-0.4166666666666667,1.866084002274844,7.0,-2.0,1.1547005383792515,False,True,,,,,,
AutoregulationTimeConstant_VLF,Metric_to_MOCA,t-test,0.033618698130152336,0.7181888296055687,*,33.0,-0.30303030303030304,1.7227312704838877,13.0,-1.5384615384615385,1.7134460703206962,True,True,,,,,,
COx_SingleHemisphere_VLF,Metric_to_MOCA,t-test,0.006191584222772139,0.8760632603095537,**,14.0,-1.7142857142857142,1.8156825980064075,43.0,-0.18604651162790697,1.7217905125809387,True,True,,,,,,
PowerRatio_VLF,Metric_to_MOCA,Mann-Whitney,0.03832534779259455,0.2743580764961354,*,13.0,-1.4615384615384615,1.6132464481796025,44.0,-0.29545454545454547,1.8499471451223408,True,False,,,,,,
TransferPhaseVariability_VLF,Metric_to_MOCA,Mann-Whitney,0.02901850990500563,0.28917653755598444,*,29.0,0.0,1.7728105208558367,28.0,-1.1428571428571428,1.7787695646207702,False,True,,,,,,
CardiacCouplingStrength_Cardiac,MOCA_to_Metric,Mann-Whitney,0.007264797044573901,0.3555648678521224,**,,,,,,,False,True,49.0,0.10429348213822229,0.09638635843560535,8.0,0.19773644191185966,0.0998397108508419
PulseAmplitudeRSO2_Cardiac,MOCA_to_Metric,Mann-Whitney,0.04544000034858146,0.26498043341879823,*,,,,,,,False,True,49.0,0.08417072098136369,0.060031654415666054,8.0,0.14658485407050562,0.08703976023580733
DominantCardiacFreq_Cardiac,MOCA_to_Metric,t-test,0.018626238804180954,0.9246585336191757,*,,,,,,,True,True,49.0,0.5472735969387755,0.08097128340210112,8.0,0.47607421875,0.04034920441958586
EstimatedHeartRate_Cardiac,MOCA_to_Metric,Mann-Whitney,0.021650232589082077,0.3725331903292,*,,,,,,,False,False,35.0,35.189732142857146,3.498184154370472,3.0,31.25,0.6765823467065927
VasomotionStrength_rSO2,MOCA_to_Metric,Mann-Whitney,0.016419160971997002,0.31781657364848764,*,,,,,,,False,True,49.0,0.8703657371891524,0.5479234743421413,8.0,1.4399339976534304,0.662936921497335
rSO2_Power_Endothelial,MOCA_to_Metric,Mann-Whitney,0.023023725370825084,0.30107160005771355,*,,,,,,,False,True,49.0,0.5666811002612413,0.6783549783974513,8.0,1.5632049482906651,1.3807819912381607
HRx,MOCA_to_Metric,t-test,0.04364095287509554,0.7874683012291829,*,,,,,,,True,True,49.0,0.12396879274335017,0.32499983399734605,8.0,-0.137885773371198,0.3801486316775791
Lx_Endothelial,MOCA_to_Metric,Mann-Whitney,0.04286316276035301,0.26822322207700616,*,,,,,,,False,True,49.0,0.2647803097975319,0.5275026175305547,8.0,0.6868098534376175,0.2442705961126241
TransferPhase_Endothelial,MOCA_to_Metric,t-test,0.0028725048487446415,1.1900186152857404,**,,,,,,,True,True,49.0,24.014976456235587,73.28611751296931,8.0,-60.979104949598586,57.02549439745612
TransferPhaseLead_Endothelial,MOCA_to_Metric,Mann-Whitney,0.021517725009280977,0.3044801732029323,*,,,,,,,False,False,49.0,0.6080705009276438,0.40805135732567516,8.0,0.24147727272727276,0.3678605099512342
PLV_Endothelial,MOCA_to_Metric,t-test,0.0004392331051779581,1.4265028121588805,***,,,,,,,True,True,49.0,0.3959750493931033,0.1724682688098545,8.0,0.6359620965057069,0.13569018277256137
PPC_Endothelial,MOCA_to_Metric,Mann-Whitney,0.0008931734149328636,0.4400333721158254,***,,,,,,,False,True,49.0,0.1856877351805393,0.1379956112073189,8.0,0.42038249401169725,0.17372320577639794
rSO2_to_SE_Causality_Myogenic,MOCA_to_Metric,Mann-Whitney,0.007923663631126576,0.38326032183429104,**,,,,,,,False,True,41.0,0.12454912428365655,0.17167533313404473,7.0,0.28721932190385724,0.22400148732713313
Bidirectional_Causality_Myogenic,MOCA_to_Metric,Mann-Whitney,0.006634568165450424,0.38390960151571196,**,,,,,,,False,False,42.0,0.12555851612837587,0.17239849657630069,8.0,0.2866179013844282,0.2645587171490597
PowerRatio_Neurogenic,MOCA_to_Metric,Mann-Whitney,0.016419160971997002,0.31781657364848764,*,,,,,,,False,True,49.0,43.16406446201459,65.14912216213096,8.0,7.807778089291154,3.7854837676197706
Lx_Neurogenic,MOCA_to_Metric,Mann-Whitney,0.03806348536765033,0.2747305849394508,*,,,,,,,False,True,49.0,0.2447512827099106,0.5177503287636893,8.0,0.654411193866156,0.25459182405075276
RespiratoryCouplingStrength,MOCA_to_Metric,Mann-Whitney,0.02457851486416239,0.29775004470370714,*,,,,,,,False,True,49.0,0.12784416976327112,0.09069609020815285,8.0,0.20884747862442848,0.10273256143265132
RespiratoryModulation_rSO2,MOCA_to_Metric,Mann-Whitney,0.009696544998213805,0.39910052539628155,**,,,,,,,False,True,36.0,4.581742881260492,1.7709790130329657,6.0,6.744617026963102,1.926920296399091
COx_SingleHemisphere_VLF,MOCA_to_Metric,t-test,0.03395747638400558,0.8293306275867721,*,,,,,,,True,True,49.0,0.26957408753829315,0.3619955864415849,8.0,-0.03679288191499908,0.416746015373935
PowerRatio_VLF,MOCA_to_Metric,Mann-Whitney,0.04544000034858146,0.26498043341879823,*,,,,,,,False,True,49.0,46.63059174037134,56.024887383832734,8.0,12.241475783416417,5.991691371546832
