Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
SE_Std,variability,Levene test,0.0015472747947988337,5.324521628014121,**,456,4.805926183549245,3.687776429269535,3.8074965564819347,68,5.883201530875336,8.509516444591238,3.6981139507483647,True,Variance ratio: 5.325,-1.0772753473260916,0.10938260573357006
SE_IQR,variability,Levene test,6.274757516644441e-05,10.255353389161785,***,456,6.172470216033967,5.040559874037343,4.71186947883199,68,9.196096081278458,16.141879204798812,5.064746752275354,True,Variance ratio: 10.255,-3.023625865244491,-0.3528772734433643
SE_Range,variability,Levene test,0.19302751513190367,1.9910544547535853,ns,456,24.121353608249336,19.403868696982467,18.0641611009898,68,24.005562494877598,27.37977634133657,14.7065016934015,True,Variance ratio: 1.991,0.11579111337173842,3.357659407588301
SE_Positive_Std,variability,Levene test,0.0016633395384466933,3.6833318189261726,**,456,2.9648197831380876,2.261659972452103,2.313003982163435,68,3.412231707512087,4.340579692214833,2.5065870184404346,True,Variance ratio: 3.683,-0.44741192437399935,-0.19358303627699947
SE_Negative_Std,variability,Levene test,0.034103174814025895,3.96154150267811,*,456,2.952947257857991,2.3063706163731434,2.309935693481405,68,3.211563908835441,4.590512787117119,1.93070023365847,True,Variance ratio: 3.962,-0.2586166509774501,0.37923545982293505
rSO2_Std,variability,Levene test,3.579319592605425e-11,3.2229759519248193,***,456,0.6438522365931418,0.49285192458717786,0.5376729967924254,68,1.1504911463996337,0.884799746113057,0.995334511587731,True,Variance ratio: 3.223,-0.5066389098064918,-0.4576615147953056
rSO2_IQR,variability,Levene test,9.882739853428947e-12,3.886071273691225,***,456,0.6893973180853435,0.5657614342592782,0.6038341668373665,68,1.3474133999315414,1.1152923435739992,1.159050816686005,True,Variance ratio: 3.886,-0.6580160818461979,-0.5552166498486385
rSO2_Range,variability,Levene test,5.7332023110050695e-06,2.3101149681653697,***,456,3.605413661548462,3.0963381506504684,2.88629680948112,68,5.826593603597032,4.706143665907993,4.975040824546755,True,Variance ratio: 2.310,-2.2211799420485696,-2.088744015065635
rSO2_Positive_Std,variability,Levene test,0.00017758384467251613,1.8691353336195087,***,456,0.4532205118437199,0.3738997334586184,0.358862550437488,68,0.7057107842214335,0.5111819722354284,0.6643831787619785,True,Variance ratio: 1.869,-0.2524902723777136,-0.3055206283244905
rSO2_Negative_Std,variability,Levene test,5.536686231759484e-11,5.436717504479779,***,456,0.4123972908978957,0.3223908789988667,0.33283074888603104,68,0.7766793760269824,0.7517113887328615,0.58861650314504,True,Variance ratio: 5.437,-0.3642820851290868,-0.25578575425900896
MAP_Std,variability,Levene test,0.058533278027076516,3.261090676752559,ns,456,5.438281480540374,5.483514716308477,3.7757585130779248,68,7.279210639214619,9.902399667062893,5.4452877575418945,True,Variance ratio: 3.261,-1.8409291586742453,-1.6695292444639698
MAP_IQR,variability,Levene test,0.005498020846599584,4.67529042500975,**,456,5.828228480666546,6.822142041154612,3.754120319302455,68,8.749472410899754,14.75112198579582,4.6713028175350555,True,Variance ratio: 4.675,-2.9212439302332083,-0.9171824982326005
MAP_Range,variability,Levene test,0.9864296888366788,1.3383783909727336,ns,456,28.554844996586723,27.8945270173944,20.32782681622085,68,31.768533329073495,32.270705489313194,27.43087945454745,True,Variance ratio: 1.338,-3.2136883324867718,-7.103052638326602
MAP_Positive_Std,variability,Levene test,0.24662200099783316,2.470719601714361,ns,456,3.8047811145215347,3.7615907854203177,2.574609346940055,68,4.937257431714607,5.912665066337752,4.133909677374961,True,Variance ratio: 2.471,-1.1324763171930723,-1.5593003304349056
MAP_Negative_Std,variability,Levene test,0.6038160208375343,1.6715621721283482,ns,456,3.4491960214051023,3.621122136381323,2.35750389104636,68,4.034954585583446,4.681709265996404,3.00445698450997,True,Variance ratio: 1.672,-0.5857585641783434,-0.6469530934636096
rSO2_contra_Std,variability,Levene test,0.689531658327021,1.1823391954140787,ns,456,0.49654500385460754,0.38818023634664633,0.427681569924434,68,0.612020955819466,0.422089417337849,0.573399853725142,True,Variance ratio: 1.182,-0.11547595196485849,-0.145718283800708
rSO2_contra_IQR,variability,Levene test,0.7221180307974144,1.1405226692531092,ns,456,0.548424610914888,0.5176149190684913,0.434725971839932,68,0.7008809423249683,0.4846796933855739,0.629010861454885,True,Variance ratio: 1.141,-0.1524563314100803,-0.19428488961495305
rSO2_contra_Range,variability,Levene test,0.5345047745659166,1.6315052073657015,ns,456,2.692604198717144,2.2706950111332516,2.148170484264325,68,3.2304533679910175,2.9003675529082416,2.45155530182274,True,Variance ratio: 1.632,-0.5378491692738736,-0.30338481755841507
rSO2_contra_Positive_Std,variability,Levene test,0.6432011468279741,1.3322079599017778,ns,452,0.3367687248556493,0.2742301736866858,0.2745896631312435,68,0.412861661689816,0.31652006835126495,0.38064685278343247,True,Variance ratio: 1.332,-0.07609293683416668,-0.10605718965218897
rSO2_contra_Negative_Std,variability,Levene test,0.38623082996533575,1.283739672679399,ns,452,0.32124500466748984,0.24700935880418595,0.276471487589175,68,0.37664252014169775,0.2798671271361438,0.3332030863637555,True,Variance ratio: 1.284,-0.0553975154742079,-0.056731598774580505
