Scale,Band,Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
scale_3,Endothelial,SE_Std,variability,Levene test,0.49097262812645337,1.3219751106984339,ns,38,4.515148594332012,1.7732493999308998,4.021221843382261,6,4.549048738439017,2.0388320916552902,4.548812107040505,True,Variance ratio: 1.322,-0.03390014410700459,-0.5275902636582446
scale_3,Endothelial,SE_IQR,variability,Levene test,0.8536983603249264,1.2865903219221912,ns,38,6.091331134282037,3.113154242466783,5.00269905221206,6,6.683257371702801,3.531187501135272,5.681448571933496,True,Variance ratio: 1.287,-0.5919262374207639,-0.6787495197214355
scale_3,Endothelial,SE_Range,variability,Levene test,0.7761672064041002,1.2097488569784414,ns,38,20.095352682602616,7.905976922181182,17.498384053731797,6,18.03424999802337,8.695672053503563,17.6907173375056,True,Variance ratio: 1.210,2.0611026845792466,-0.19233328377380232
scale_3,Endothelial,SE_Positive_Std,variability,Levene test,0.2523414383100842,1.9366601635330796,ns,38,2.780772965287626,1.2321224260511991,2.48954258335475,6,2.8910169416271807,1.714670088881991,2.9156127426261547,True,Variance ratio: 1.937,-0.11024397633955463,-0.4260701592714047
scale_3,Endothelial,SE_Negative_Std,variability,Levene test,0.8085175964657343,1.1477111457608846,ns,38,2.6236288330284423,0.9584763015009974,2.40284084140975,6,2.196610051182257,1.0268279438566217,1.9651061418216051,True,Variance ratio: 1.148,0.42701878184618547,0.43773469958814504
scale_3,Endothelial,rSO2_Std,variability,Levene test,0.05118907655466289,2.6284389278607754,ns,38,0.8213781377692772,0.5268087136003715,0.752506992585806,6,1.585124705182546,0.8540865741733192,1.47503389690579,True,Variance ratio: 2.628,-0.7637465674132687,-0.7225269043199839
scale_3,Endothelial,rSO2_IQR,variability,Levene test,0.06719883123082843,3.6314427602403168,ns,38,0.9532673841284528,0.6581017390413186,0.7628398437168645,6,1.9906327275429836,1.2541013633441933,1.7699535250210152,True,Variance ratio: 3.631,-1.037365343414531,-1.0071136813041508
scale_3,Endothelial,rSO2_Range,variability,Levene test,0.06137257568597466,6.511261421740225,ns,38,3.8194362640507253,2.292993243026478,3.38227927525007,6,7.4968071659460565,5.851070636024308,5.9345336133311655,True,Variance ratio: 6.511,-3.677370901895331,-2.5522543380810956
scale_3,Endothelial,rSO2_Positive_Std,variability,Levene test,0.4740024166931819,1.963015085917756,ns,38,0.5883760014149375,0.4203195595986297,0.47511602475146053,6,0.98982532875574,0.5888998165041442,0.7520129778526266,True,Variance ratio: 1.963,-0.4014493273408025,-0.276896953101166
scale_3,Endothelial,rSO2_Negative_Std,variability,Levene test,0.019282488332336756,8.449807444061983,*,38,0.4634047441022113,0.26047667277736014,0.387687315648338,6,0.976629749705125,0.757167983747902,0.701637228238042,True,Variance ratio: 8.450,-0.5132250056029137,-0.31394991258970395
scale_3,Endothelial,MAP_Std,variability,Levene test,0.441651263445214,3.4278327862497813,ns,38,5.598420467397746,4.246849910372915,4.537375529455035,6,7.229023072610347,2.2938081871294735,7.15766224046382,True,Variance ratio: 3.428,-1.6306026052126006,-2.6202867110087844
scale_3,Endothelial,MAP_IQR,variability,Levene test,0.8733674156217469,1.220541172236108,ns,38,6.478666652610101,5.820562190707566,4.950581780692245,6,8.604188911852214,5.268521017493843,6.760623900983511,True,Variance ratio: 1.221,-2.1255222592421132,-1.810042120291266
scale_3,Endothelial,MAP_Range,variability,Levene test,0.08480888995530454,6.0729082545104065,ns,38,25.559251462674258,16.416684978897194,22.56410920567865,6,29.25704931091937,6.6617311923835585,29.1178320264057,True,Variance ratio: 6.073,-3.697797848245113,-6.5537228207270495
scale_3,Endothelial,MAP_Positive_Std,variability,Levene test,0.21085633002618662,4.497492040603985,ns,38,4.139292048467652,3.212978771658439,3.4788677081255797,6,5.33534263659179,1.5150349599120012,5.15465952545447,True,Variance ratio: 4.497,-1.1960505881241374,-1.6757918173288902
